"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,66.0,1.0,0.3016614317893982,"some movies are repellent but still fascinating  pulp fiction  others are simply [[boring]]  this movie has an almost unique feature of being both utterly repellent and totally boring  by the end i didn t care about any of the characters  i just wanted all of them dead so i could get out of the theatre ",0.0,0.5039960741996765,"some movies are repellent but still fascinating  pulp fiction  others are simply [[interesting]]  this movie has an almost unique feature of being both utterly repellent and totally boring  by the end i didn t care about any of the characters  i just wanted all of them dead so i could get out of the theatre ","Successful"
1.0,41.0,1.0,0.3538869023323059,"at [[least]] the jingle by tim finn was melodic  roberts is the his usual inept self  [[characters]] are inconsistent  dull  purposeless  roberts changes his accent [[even]] within one line ",1.0,0.4240725040435791,"at [[most]] the jingle by tim finn was melodic  roberts is the his usual inept self  [[s]] are inconsistent  dull  purposeless  roberts changes his accent [[somewhat]] within one line ","Failed"
0.0,184.0,0.0,0.31133776903152466,"while it certainly wasn t the [[best]] movie i ve ever [[seen]]  it was certainly worth the     which can t be [[said]] for many movies these days br  br  this was a [[pleasant]] account of a true story  although many of the details of the real story were twisted for the [[movie]]   ie  billy sunday s character was three or [[four]] people in the real story combined [[together]]  robert deniro was of course good  and cuba gooding  [[jr]]  was also impressive ",0.0,0.42679595947265625,"while it certainly wasn t the [[top]] movie i ve ever [[saw]]  it was certainly worth the     which can t be [[avoided]] for many movies these days br  br  this was a [[short]] account of a true story  although many of the details of the real story were twisted for the [[make]]   ie  billy sunday s character was three or [[4]] people in the real story combined [[only]]  robert deniro was of course good  and cuba gooding  [[kid]]  was also impressive ","Failed"
1.0,87.0,1.0,0.34924954175949097,"ok we have a film that some are calling one of the best movies ever but i m sitting here thinking hell the f  the storys sux  which there is no story  the diolouge is quite plain  artisticly [[nothing]] great  and the acting is nothing real out standing  so if you want to pretend to be arty say you like it  but if you have a real view say you don t like it or if you did explain why ",0.0,0.5231812596321106,"ok we have a film that some are calling one of the best movies ever but i m sitting here thinking hell the f  the storys sux  which there is no story  the diolouge is quite plain  artisticly [[speaking]] great  and the acting is nothing real out standing  so if you want to pretend to be arty say you like it  but if you have a real view say you don t like it or if you did explain why ","Successful"
0.0,286.0,0.0,0.28905272483825684,"i [[went]] into a screening of  sister helen  at the [[sundance]] film festival and did not know what to expect br  br  i was [[riveted]] by the people in this documentary  sister helen is an [[incredible]] character  the [[filmmakers]] captured the essence of sister helen s amazing [[soul]] and took me into a world unknown  i was [[thoroughly]] satisfied by the journey and was [[completely]] caught off guard by this film s ending br  br  this film [[speaks]] to those who [[desire]] a second chance at life ",0.0,0.4109343886375427,"i [[crashed]] into a screening of  sister helen  at the [[la]] film festival and did not know what to expect br  br  i was [[told]] by the people in this documentary  sister helen is an [[unlikely]] character  the [[filmmaker]] captured the essence of sister helen s amazing [[world]] and took me into a world unknown  i was [[completely]] satisfied by the journey and was [[unfortunately]] caught off guard by this film s ending br  br  this film [[cater]] to those who [[desired]] a second chance at life ","Failed"
1.0,164.0,1.0,0.3245038390159607,"from the nepotism capitol of the [[world]] comes another junk flick in a fancy [[wrapper]]   cq  tells a lame  disjointed mess of a [[story]] which is little more than a bunch of [[silly]] caricatures  a babe  and straight man davies [[running]] [[around]] trying to make a stupid sci fi [[flick]]  i can t think of any reason [[anyone]] [[would]] want to spend time with this ridiculous attempt at [[film]] making   d ",1.0,0.3516809940338135,"from the nepotism capitol of the [[day]] comes another junk flick in a fancy [[box]]   cq  tells a lame  disjointed mess of a [[tale]] which is little more than a bunch of [[obscene]] caricatures  a babe  and straight man davies [[wander]] [[s]] trying to make a stupid sci fi [[movie]]  i can t think of any reason [[somebody]] [[do]] want to spend time with this ridiculous attempt at [[movies]] making   d ","Failed"
1.0,163.0,1.0,0.3294624090194702,"this short film doesn t get there  cliche  and not very [[funny]] attempt at dark humor  humor isn t [[funny]] [[enough]] to get you interested and the protagonist isn t likeable so you really don t [[care]] about what happens anyway  producer spent some [[money]] on this flop and it shows in the production value which is the only [[saving]] grace ",1.0,0.40186089277267456,"this short film doesn t get there  cliche  and not very [[popular]] attempt at dark humor  humor isn t [[difficult]] [[really]] to get you interested and the protagonist isn t likeable so you really don t [[listen]] about what happens anyway  producer spent some [[funds]] on this flop and it shows in the production value which is the only [[thing]] grace ","Failed"
1.0,62.0,1.0,0.44930559396743774,"this movie about a man on the run for killing a mobster is the kind of film you can watch entirely on fast forward  once you know who s who  and not lose a thing  it has an attractive cast but the plot is a virtual writer s guide to cinema [[cliche]]  and boy does the dialogue clunk ",0.0,0.5594359636306763,"this movie about a man on the run for killing a mobster is the kind of film you can watch entirely on fast forward  once you know who s who  and not lose a thing  it has an attractive cast but the plot is a virtual writer s guide to cinema [[writing]]  and boy does the dialogue clunk ","Successful"
0.0,219.0,0.0,0.33998286724090576,"i m really suprised this movie didn t get a [[higher]] rating on imdb  it s [[one]] of those movies that could [[easily]] get by someone  but for romantic comedy  moonstruck  is [[really]] in a class by itself  it s setting and ethnic charm are things people [[seem]] to [[take]] for granted  the casting alone makes it a nearly [[perfect]] movie  few movies in the   s were as [[good]] as  moonstruck and it s funny too    out of  ",1.0,0.547370433807373,"i m really suprised this movie didn t get a [[better]] rating on imdb  it s [[two]] of those movies that could [[potentially]] get by someone  but for romantic comedy  moonstruck  is [[basically]] in a class by itself  it s setting and ethnic charm are things people [[seems]] to [[suck]] for granted  the casting alone makes it a nearly [[super]] movie  few movies in the   s were as [[bad]] as  moonstruck and it s funny too    out of  ","Successful"
0.0,181.0,0.0,0.3265843987464905,"first it was jack the ripper  now it is [[alan]] feinstone  the crazy dentist tortures people in horrific [[ways]]  quite realistic at times but some of the acting is abysmal and [[comical]]  [[especially]] from corbin bernson  in some scenes there is dental torture that will [[really]] [[make]] you cringe ",0.0,0.49256569147109985,"first it was jack the ripper  now it is [[al]] feinstone  the crazy dentist tortures people in horrific [[levels]]  quite realistic at times but some of the acting is abysmal and [[most]]  [[luckily]] from corbin bernson  in some scenes there is dental torture that will [[merely]] [[think]] you cringe ","Failed"
