"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,69.0,1.0,0.26936793327331543," br  br  i didn t see they call me trinity  but this sequel is really [[unfunny]] at all  it has many gags that are supposed to make people laugh  i guess the filmmaker just don t have the talent to do it right  wonder why it was so popular in the 70s ",0.0,0.7294596433639526," br  br  i didn t see they call me trinity  but this sequel is really [[funny]] at all  it has many gags that are supposed to make people laugh  i guess the filmmaker just don t have the talent to do it right  wonder why it was so popular in the 70s ","Successful"
0.0,200.0,0.0,0.26913362741470337,"this [[film]] by friðrik þór  director of children of nature  is powerful  it has [[great]] music by sigurrós and good acting  it [[shows]] how sad insanity as a disease can be  there are [[many]] [[good]] jokes but the humor is dark  if that is not a problem then you should [[see]] this film  note though this is not a comedy but a drama ",0.0,0.2738189101219177,"this [[movie]] by friðrik þór  director of children of nature  is powerful  it has [[more]] music by sigurrós and good acting  it [[appears]] how sad insanity as a disease can be  there are [[certain]] [[bad]] jokes but the humor is dark  if that is not a problem then you should [[check]] this film  note though this is not a comedy but a drama ","Failed"
0.0,199.0,0.0,0.26934534311294556,"i have fond memories of watching this visually [[dazzling]] [[film]] as a child in the late 70s early 80s on wor tv  now [[upn]]    in ny  though a product of the swinging 60s  this film has [[hardly]] aged  the effects are just as wonderous as    and in some ways superior  the model work is [[flawless]]  with an attractive cast  great color photography and set design  and an [[evocative]] score  jttfsots is a winner ",0.0,0.3067671060562134,"i have fond memories of watching this visually [[ivating]] [[films]] as a child in the late 70s early 80s on wor tv  now [[airing]]    in ny  though a product of the swinging 60s  this film has [[so]] aged  the effects are just as wonderous as    and in some ways superior  the model work is [[outstanding]]  with an attractive cast  great color photography and set design  and an [[appropriate]] score  jttfsots is a winner ","Failed"
0.0,124.0,0.0,0.26957398653030396,"the movie is a [[bit]]  thin  after reading the book  but it s still one of the [[greatest]] movies ever made  sheryl lee is beautiful and nick nolte is really  vonneguty  he makes [[great]] job expressing the feelings from the book to the film  not many films engage the feeling of the book as well as mother night does ",1.0,0.7161723375320435,"the movie is a [[tad]]  thin  after reading the book  but it s still one of the [[biggest]] movies ever made  sheryl lee is beautiful and nick nolte is really  vonneguty  he makes [[awful]] job expressing the feelings from the book to the film  not many films engage the feeling of the book as well as mother night does ","Successful"
1.0,1.0,0.0,0.676088273525238,"in the tower of babel installment of the mini series  the narrator describes the builders of the tower as  the descendants of moses br  br  that s like saying george washington lived many centuries before alexander the great br  br  or that the light bulb was invented before the wheel br  br  or that the guided missile was the forerunner of the bow and arrow br  br  need i say more br  br  the writers of the greatest heroes of the bible should have at least paid closer attention to the chronologies of biblical people and events ",0.0,0.676088273525238,"in the tower of babel installment of the mini series  the narrator describes the builders of the tower as  the descendants of moses br  br  that s like saying george washington lived many centuries before alexander the great br  br  or that the light bulb was invented before the wheel br  br  or that the guided missile was the forerunner of the bow and arrow br  br  need i say more br  br  the writers of the greatest heroes of the bible should have at least paid closer attention to the chronologies of biblical people and events ","Skipped"
0.0,136.0,0.0,0.2805206775665283,"well it might be a kid s movie perhaps but i m not gonna let my kids from   watch it so the one who say it is a kid movie hmm it is teenager movie i agree so but back to the movie it is about a boy who can lie very good so good that at the end nobody nows truth or lie anyway it is a [[nice]] movie to see nice screen play i vote a   for screen play and story  i think they writers mend a litlle lesson whit it the truth is never overated ",1.0,0.6786543130874634,"well it might be a kid s movie perhaps but i m not gonna let my kids from   watch it so the one who say it is a kid movie hmm it is teenager movie i agree so but back to the movie it is about a boy who can lie very good so good that at the end nobody nows truth or lie anyway it is a [[silly]] movie to see nice screen play i vote a   for screen play and story  i think they writers mend a litlle lesson whit it the truth is never overated ","Successful"
0.0,93.0,0.0,0.2997068762779236,"the [[funniest]] performance was by shalom harlow  as matt dillon s supermodel girlfriend  she was more interesting to me than all the lead actors  this movie got it all wrong  even the most dependable actress of the century  joan cusask  was not able to rise about the ridiculousness of the plot  i did enjoy hearing  macho man  by the village people over the closing credits  the rest of the movie might have been tolerable if it were to rise to that level of energy ",1.0,0.572372317314148,"the [[best]] performance was by shalom harlow  as matt dillon s supermodel girlfriend  she was more interesting to me than all the lead actors  this movie got it all wrong  even the most dependable actress of the century  joan cusask  was not able to rise about the ridiculousness of the plot  i did enjoy hearing  macho man  by the village people over the closing credits  the rest of the movie might have been tolerable if it were to rise to that level of energy ","Successful"
0.0,97.0,0.0,0.32946181297302246,"this is hardly a movie at all  but rather a real vaudeville show  filmed for the most part  in proscenium  and starring some of the greatest stage stars of the day   singing in the bathtub  is an absolutely [[amazing]] production number that must be seen  be sure to wear your shower cap ",1.0,0.7121268510818481,"this is hardly a movie at all  but rather a real vaudeville show  filmed for the most part  in proscenium  and starring some of the greatest stage stars of the day   singing in the bathtub  is an absolutely [[outstanding]] production number that must be seen  be sure to wear your shower cap ","Successful"
0.0,200.0,0.0,0.2695994973182678,"not only does this film have one of the [[great]] movie titles  it sports the third teaming of 70s child [[actors]] ike eissenman and kim richards  i seem to [[remember]] this film being broadcast halloween week back in    [[going]] against linda blair in stranger in our house  i missed it on the first run choosing to see the other film  later  on repeat  i saw i made the right choice  the movie is not really bad  but  really [[lacks]] any chills or surprises  although  i did like the [[scene]] where richard crenna shoots the family dog to no avail ",0.0,0.36407583951950073,"not only does this film have one of the [[same]] movie titles  it sports the third teaming of 70s child [[performers]] ike eissenman and kim richards  i seem to [[forget]] this film being broadcast halloween week back in    [[chicago]] against linda blair in stranger in our house  i missed it on the first run choosing to see the other film  later  on repeat  i saw i made the right choice  the movie is not really bad  but  really [[nothing]] any chills or surprises  although  i did like the [[end]] where richard crenna shoots the family dog to no avail ","Failed"
0.0,81.0,0.0,0.27763688564300537,"i saw this a good while ago  but i just cant get over it  i have looked everywhere to try and find out where i can get a copy of it but i have not been able to get a hold of it  i [[really]] reccomend this movie and if anyone has any info about how i can get a copy then let me know  thanx",1.0,0.6917954683303833,"i saw this a good while ago  but i just cant get over it  i have looked everywhere to try and find out where i can get a copy of it but i have not been able to get a hold of it  i [[simply]] reccomend this movie and if anyone has any info about how i can get a copy then let me know  thanx","Successful"
