,tweet,label
0,the cdc currently report death in general the discrepancy in death count between different source are small and explicable the death toll stand at roughly people today,real
1,state reported death a small rise from last tuesday southern state reported of those death,real
2,politically correct woman almost u pandemic a excuse not to reuse plastic bag coronavirus nashville,fake
3,indiafightscorona we have covid testing laboratory in india and a on 25th august test have been done profbhargava dg icmrdelhi staysafe indiawillwin,real
4,populous state can generate large case count but if you look at the new case per million today smaller state are showing more case per million than california or texas al ar id k ky la m nv and sc,real
5,covid act now found on average each person in illinois with covid is infecting other people data show that the infection growth rate ha declined over time this factor in the stayathome order and other restriction put in place,real
6,if you tested positive for covid and have no symptom stay home and away from other people learn more about cdc s recommendation about when you can be around others after covid infection,real
7,obama call trump s coronavirus response a chaotic disaster,fake
8,clearly the obama administration did not leave any kind of game plan for something like this,fake
9,retraction hydroxychloroquine or chloroquine with or without a macrolide for treatment of covid a multinational registry analysis the lancet,fake
10,take simple daily precaution to help prevent the spread of respiratory illness like covid learn how to protect yourself from coronavirus covid,real
11,the nba is poised to restart this month in march we reported on how the utah jazz got coronavirus test in a matter of hour at a time when u s testing wa sluggish,fake
12,we just announced that the first participant in each age cohort have been dosed in the phase study of our mrna vaccine mrna against novel coronavirus read more mrna,real
13,coronavirusupdates indiafightscorona more than lakh test done for 3rd successive day cumulative testing a on date ha reached covid test per million tpm cross,real
14,protect yourself and others from covid when using public transportation practice social distancing avoid touching surface and practice hand hygiene learn more,real
15,a of august 8am till now there have been a total of covid positive case covid related death in manipur covid covid covid 19india covidupdates coronaupdates corona coronavirus coronavirusindia coronavirusupdates coronaviruspandemic,real
16,because of donald trump negligence and incompetence more than people have died we have nearly million case of covid over million american are out of work and yet he s patting himself on the back unbelievable,fake
17,indiafightscorona india continues to scale new peak in covid test more than lakh sample tested daily for consecutive day no other country ha achieved these level of very high daily testing pmoindia drharshvardhan ashwinikchoubey pibindia ddnewslive,real
18,we just announced that we have shipped vial of mrna the company s vaccine against the novel coronavirus to the nih to be used in the planned phase study in the u s,real
