"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,143.0,0.0,0.32204002141952515,"another good [[stooge]] short [[christine]] mcintyre is so [[lovely]] and evil and the same time in this one she is such a [[great]] actress the [[stooges]] are very good and especially shemp and larry this to is a [[good]] one to [[watch]] around autumn time ",1.0,0.502509593963623,"another good [[lackey]] short [[chrіstine]] mcintyre is so [[loveⅼy]] and evil and the same time in this one she is such a [[g]] [[reat]] actress the [[stooɡes]] are very good and especially shemp and larry this to is a [[goоd]] one to [[watcհ]] around autumn time ","Successful"
0.0,86.0,0.0,0.30841296911239624,"rating   classic waters  one of his best and most [[shocking]] films  divine is the most filthy [[person]] ever  mink stole also [[delivers]] a [[superb]] performance ",1.0,0.5006505250930786,"rating   classic waters  one of his best and most [[horrifying]] films  divine is the most filthy [[persoո]] ever  mink stole also [[deliverѕ]] a [[sueprb]] performance ","Successful"
0.0,190.0,0.0,0.2984985113143921,"this is [[one]] of those movies that [[showcases]] a great [[actor]] s [[talent]] and also conveys a [[great]] story  it is [[one]] of stewart s greatest [[movies]]  [[barring]] a few historic errors it also does an [[excellent]] [[job]] of telling the story of the  [[spirit]] of st  [[louis]] ",0.0,0.48167258501052856,"this is [[anyone]] of those movies that [[sհowcases]] a great [[ɑctor]] s [[tɑlent]] and also conveys a [[phenomenal]] story  it is [[оne]] of stewart s greatest [[movie]]  [[barrinɡ]] a few historic errors it also does an [[excellen𝚝]] [[labor]] of telling the story of the  [[spi]] [[rit]] of st  [[louiѕ]] ","Failed"
0.0,200.0,0.0,0.299572229385376,"this movie is so [[great]]  its [[set]] back in probably the   s and [[meg]] [[ryan]] s character struggles to be known as  smart  [[plus]] tim robbins is so cute in this movie  and everything about it has a magical [[feeling]] towards it  everytime i watch it i feel [[happy]]  it s definitely a girl movie  and i m a girl  so i [[like]] it  i also love the music  the violin is awesome  but besides that i think it s a cute story and everyone should watch it ",0.0,0.4604950547218323,"this movie is so [[ɡreat]]  its [[se𝚝]] back in probably the   s and [[meɡ]] [[ry]] [[an]] s character struggles to be known as  smart  [[plսs]] tim robbins is so cute in this movie  and everything about it has a magical [[fеeling]] towards it  everytime i watch it i feel [[hap]] [[py]]  it s definitely a girl movie  and i m a girl  so i [[lkie]] it  i also love the music  the violin is awesome  but besides that i think it s a cute story and everyone should watch it ","Failed"
1.0,113.0,1.0,0.3637917637825012,"there are interesting pieces here of and about bruce weber s likes and [[dislikes]]  maybe if a professional editor had put it together for biography  i would have felt more satisfied  instead  i spent    at a film festival on it  for an autobiography  almost nothing is revealed about bruce weber  other than he likes to look at photographs  shoot interesting people  especially beautiful teenage boys  and listen to jazz  the director of  crumb  [[would]] have made a much more interesting and cohesive film ",0.0,0.5368379354476929,"there are interesting pieces here of and about bruce weber s likes and [[dislikeѕ]]  maybe if a professional editor had put it together for biography  i would have felt more satisfied  instead  i spent    at a film festival on it  for an autobiography  almost nothing is revealed about bruce weber  other than he likes to look at photographs  shoot interesting people  especially beautiful teenage boys  and listen to jazz  the director of  crumb  [[wold]] have made a much more interesting and cohesive film ","Successful"
0.0,84.0,0.0,0.29175102710723877,"i smiled through the [[whole]] [[film]]  the [[music]] is [[great]]  the story telling is great  it s a [[wonderful]] [[film]]  this [[picture]] is made with respect and a [[true]] love of the sixties ",0.0,0.35416024923324585,"i smiled through the [[entire]] [[movie]]  the [[mus]] [[ic]] is [[gret]]  the story telling is great  it s a [[fantastic]] [[fіlm]]  this [[pictuⲅe]] is made with respect and a [[real]] love of the sixties ","Failed"
1.0,133.0,1.0,0.33906400203704834,"ice t [[stars]] as mason a homeless african american who finds himself hunted by wealthy hunters  rutger hauer gary busey charles s  dutton  f murray abraham william mcnamara and john c  mcginley  however mason [[proves]] to be much harder prey then the usual targets in this [[ridiculous]] and slow paced actioner which [[takes]] too long setting up actionscenes and then totally [[botching]] them ",0.0,0.5010957717895508,"ice t [[celebrity]] as mason a homeless african american who finds himself hunted by wealthy hunters  rutger hauer gary busey charles s  dutton  f murray abraham william mcnamara and john c  mcginley  however mason [[demonstrate]] to be much harder prey then the usual targets in this [[ridiculouѕ]] and slow paced actioner which [[𝚝akes]] too long setting up actionscenes and then totally [[botϲhing]] them ","Successful"
0.0,200.0,0.0,0.2929246425628662,"this [[movie]] is a real [[thriller]]  it was [[exciting]] from [[shortly]] after the [[start]] till the very [[end]]  if you are a real suspense nut  this is the movie for you  the [[characters]] were very well developed and the scenery was [[beautiful]]  the story was very well written  similar to some others i have seen  but quite different in several ways  a [[must]] [[see]] ",0.0,0.45318490266799927,"this [[film]] is a real [[slasher]]  it was [[excitinɡ]] from [[succinctly]] after the [[commencing]] till the very [[еnd]]  if you are a real suspense nut  this is the movie for you  the [[charɑcters]] were very well developed and the scenery was [[beautifսl]]  the story was very well written  similar to some others i have seen  but quite different in several ways  a [[msut]] [[seе]] ","Failed"
1.0,94.0,1.0,0.3012418746948242,"the [[guidelines]] state that a comment must contain a minimum of four lines  that is the only reason i am saying anything more about tomcats  because after all  my one line summary really [[says]] everything there is to say  there is absolutely [[nothing]] remotely entertaining in this film ",0.0,0.5037524104118347,"the [[guideliոes]] state that a comment must contain a minimum of four lines  that is the only reason i am saying anything more about tomcats  because after all  my one line summary really [[syas]] everything there is to say  there is absolutely [[no𝚝hing]] remotely entertaining in this film ","Successful"
0.0,124.0,0.0,0.302440345287323,"in [[black]] [[mask]]  [[jet]] li plays a bio engineered super killer [[turned]] pacifist  who has to fight against other super killers  bad plot  bad sfx   million dollar budget  but the fighting [[scenes]] were [[excellent]]  jet li is the greatest martial arts star alive ",1.0,0.5013597011566162,"in [[b]] [[lack]] [[masking]]  [[aeroplanes]] li plays a bio engineered super killer [[became]] pacifist  who has to fight against other super killers  bad plot  bad sfx   million dollar budget  but the fighting [[scenеs]] were [[excellen𝚝]]  jet li is the greatest martial arts star alive ","Successful"
