"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,75.0,1.0,0.40004605054855347,"back in march former deputy prime minister barnabyjoyce said [[death]] by snake bite outnumbered covid death by a factor of to but [[coronavirus]] move quickly and his claim rapidly aged this and more in [[coronacheck]] coronavirusfacts",1.0,0.4403642416000366,"back in march former deputy prime minister barnabyjoyce said [[trauma]] by snake bite outnumbered covid death by a factor of to but [[more]] move quickly and his claim rapidly aged this and more in [[case]] coronavirusfacts","Failed"
1.0,95.0,1.0,0.3949463367462158,"covid is a lab [[made]] biological [[weapon]] deployed to destroy the trump economy people will say but chinese people [[died]] why would they kill their own people [[ill]] remind people that war is about sacrificing your own people to [[gain]] from [[another]] people",1.0,0.4123483896255493,"covid is a lab [[used]] biological [[lizer]] deployed to destroy the trump economy people will say but chinese people [[are]] why would they kill their own people [[people]] remind people that war is about sacrificing your own people to [[get]] from [[some]] people","Failed"
0.0,65.0,0.0,0.3773466944694519,"indiafightscorona by conducting close to crore [[covid]] test    crore covid test were [[conducted]] in the last week alone",0.0,0.38393139839172363,"indiafightscorona by conducting close to crore [[s]] test    crore covid test were [[eliminated]] in the last week alone","Failed"
1.0,167.0,1.0,0.37171685695648193,"claim that [[saint]] [[corona]] [[ha]] [[always]] been a [[patron]] [[saint]] against epidemic",1.0,0.42026931047439575,"claim that [[corona]] [[have]] [[none]] [[ever]] been a [[place]] [[ization]] against epidemic","Failed"
1.0,188.0,1.0,0.3809155225753784,"million people [[contracted]] tuberculosis last year    million people died did you [[even]] [[know]] were you scared for your life did we wear mask close the economy cancel [[school]] and ruin small business no why because the medium didn t [[tell]] you to be afraid",1.0,0.4027949571609497,"million people [[get]] tuberculosis last year    million people died did you [[always]] [[look]] were you scared for your life did we wear mask close the economy cancel [[lives]] and ruin small business no why because the medium didn t [[show]] you to be afraid","Failed"
0.0,27.0,0.0,0.35972052812576294,"several dozen of our volunteer spent the last day evaluating the new [[cdcgov]] data this is the white paper we produced",0.0,0.37570899724960327,"several dozen of our volunteer spent the last day evaluating the new [[field]] data this is the white paper we produced","Failed"
1.0,100.0,1.0,0.39635616540908813,"simpsonreport a bioengineered pandemic is too useful to [[waste]] [[lockdown]] the new gulag",0.0,0.5597159266471863,"simpsonreport a bioengineered pandemic is too useful to [[measure]] [[within]] the new gulag","Successful"
1.0,123.0,1.0,0.37707000970840454,"a [[photo]] of a [[woman]] lying in a hospital bed with medical equipment [[attached]] to her body [[ha]] been shared hundred of time on facebook and twitter [[alongside]] [[claim]] that the woman wa a doctor who [[died]] after being beaten by a muslim mob while [[trying]] to administer novel coronavirus test",1.0,0.4108316898345947,"a [[images]] of a [[women]] lying in a hospital bed with medical equipment [[relating]] to her body [[having]] been shared hundred of time on facebook and twitter [[where]] [[claimed]] that the woman wa a doctor who [[die]] after being beaten by a muslim mob while [[used]] to administer novel coronavirus test","Failed"
0.0,82.0,0.0,0.37421274185180664,"based on what is known about how the novel coronavirus behaves cdc and [[capublichealth]] [[expect]] to see covid infection in people who have had contact with the [[recentlyidentified]] patient especially those who have had close prolonged contact",0.0,0.40612363815307617,"based on what is known about how the novel coronavirus behaves cdc and [[do]] [[have]] to see covid infection in people who have had contact with the [[wrong]] patient especially those who have had close prolonged contact","Failed"
1.0,101.0,1.0,0.388592004776001,"susan lemon commondefense [[berniesanders]] omg are you frigging [[kidding]] me just like trump knowing how deadly the coronavirus wa same [[go]] for the police that night they said the knocked it wa their [[word]] against her distraught boyfriend",1.0,0.41016721725463867,"susan lemon commondefense [[hey]] omg are you frigging [[believing]] me just like trump knowing how deadly the coronavirus wa same [[look]] for the police that night they said the knocked it wa their [[line]] against her distraught boyfriend","Failed"
1.0,112.0,1.0,0.4008304476737976,"kid [[reach]] [[f]] [[k]] this [[shit]] stage of lockdown",0.0,0.5017011165618896,"kid [[b]] [[steady]] [[hit]] this [[critical]] stage of lockdown","Successful"
0.0,121.0,0.0,0.37280040979385376,"the second case is a woman in her who [[arrived]] in new zealand on july from los angeles she ha been staying at the [[rydges]] in auckland and tested positive for covid a [[part]] of routine testing around day [[three]] of her stay in managed isolation",0.0,0.3878716826438904,"the second case is a woman in her who [[emigrated]] in new zealand on july from los angeles she ha been staying at the [[home]] in auckland and tested positive for covid a [[case]] of routine testing around day [[3]] of her stay in managed isolation","Failed"
0.0,79.0,0.0,0.3825203776359558,"a [[new]] cdcmmwr report show that young previously healthy [[adult]] can take a long time to recover from [[covid]] the study found that nearly in adult [[age]] who had milder outpatient covid had not [[returned]] to their [[usual]] health after day",0.0,0.39966917037963867,"a [[previous]] cdcmmwr report show that young previously healthy [[person]] can take a long time to recover from [[condition]] the study found that nearly in adult [[youth]] who had milder outpatient covid had not [[returning]] to their [[normal]] health after day","Failed"
0.0,57.0,0.0,0.36914223432540894,"having a difficult [[time]] coping because of covid feeling lonely anxious or dealing with [[grief]] and loss help is available through the [[national]] suicide prevention lifeline learn more",0.0,0.38270658254623413,"having a difficult [[month]] coping because of covid feeling lonely anxious or dealing with [[sorrow]] and loss help is available through the [[local]] suicide prevention lifeline learn more","Failed"
1.0,60.0,1.0,0.40071964263916016,"death due to covid have increased in gujarats rajkot a case rise however the exact number is unclear city data show death but crematorium burial ground tell a different story theprints [[soniyaagrawal]] manishamondal report",0.0,0.5047378540039062,"death due to covid have increased in gujarats rajkot a case rise however the exact number is unclear city data show death but crematorium burial ground tell a different story theprints [[include]] manishamondal report","Successful"
0.0,1.0,1.0,0.5890885591506958,"doctor send a crystal clear message about the importance of mask for covid prevention via hansabhargavamd futuredocs",1.0,0.5890885591506958,"doctor send a crystal clear message about the importance of mask for covid prevention via hansabhargavamd futuredocs","Skipped"
0.0,50.0,0.0,0.36681705713272095,"rt mohfw india [[indiafightscorona]] in the past month more than of case have recovered and le than are active now effecti",0.0,0.37295395135879517,"rt mohfw india [[is]] in the past month more than of case have recovered and le than are active now effecti","Failed"
1.0,144.0,1.0,0.43026047945022583,"dr [[vk]] [[srinivas]] vice president bharat biotech taking coronavirus vaccine clinical [[trial]] he is the first person in india to [[take]] vaccine [[developed]] by him and his team in bharat biotech",1.0,0.4470118284225464,"dr [[ashok]] [[prakash]] vice president bharat biotech taking coronavirus vaccine clinical [[test]] he is the first person in india to [[get]] vaccine [[given]] by him and his team in bharat biotech","Failed"
0.0,89.0,0.0,0.38036417961120605,"the chairman of the british medical association dr chaand nagpaul [[say]] that [[wearing]] face mask is extremely important explaining that they prevent about percent of virus [[spreading]] from one person to the other kayburley",1.0,0.5186126828193665,"the chairman of the british medical association dr chaand nagpaul [[claimed]] that [[wears]] face mask is extremely important explaining that they prevent about percent of virus [[propagation]] from one person to the other kayburley","Successful"
1.0,56.0,1.0,0.40457749366760254,"asias richest man mukesh ambanis wife nita [[ambani]] received r a welfare fund from [[central]] government",1.0,0.428259015083313,"asias richest man mukesh ambanis wife nita [[having]] received r a welfare fund from [[odisha]] government","Failed"
1.0,1.0,0.0,0.6129788756370544,"singapore is often lauded for it response to covid the government ha pointed to it a an example of a country doing well that hasnt closed school it recently decided to do so so how doe singapores response compare to australias auspol",0.0,0.6129788756370544,"singapore is often lauded for it response to covid the government ha pointed to it a an example of a country doing well that hasnt closed school it recently decided to do so so how doe singapores response compare to australias auspol","Skipped"
1.0,48.0,1.0,0.38835883140563965,"treehugs qclues o paulamjohns lucky for you grapefruit doesn t make quinine [[hydtoxychloroquine]] is a different chemical you re not getting any both are somewhat effective [[antimalarial]] treatment but have side effect they have no effect on [[sarscov]] virus that cause covid",0.0,0.5060983896255493,"treehugs qclues o paulamjohns lucky for you grapefruit doesn t make quinine [[whichever]] is a different chemical you re not getting any both are somewhat effective [[early]] treatment but have side effect they have no effect on [[disease]] virus that cause covid","Successful"
1.0,276.0,1.0,0.37833744287490845,"bill [[gate]] is [[creating]] a [[vaccine]] against the [[covid]] which [[would]] geolocate the population",1.0,0.4112309217453003,"bill [[abbott]] is [[testing]] a [[poison]] against the [[species]] which [[wil]] geolocate the population","Failed"
0.0,91.0,0.0,0.35350894927978516,"our discharge today [[include]] community recovery over the last two week reported from lagos [[state]] in line with new case management guideline a breakdown of case by state can be found [[via]] takeresponsibility",0.0,0.3713275194168091,"our discharge today [[provided]] community recovery over the last two week reported from lagos [[area]] in line with new case management guideline a breakdown of case by state can be found [[into]] takeresponsibility","Failed"
1.0,54.0,1.0,0.39342600107192993,"rt [[factchecknet]] just like we wash our hand to fight covid we can scrub our chat to contain the infodemic here are some guideline",0.0,0.5834391713142395,"rt [[d]] just like we wash our hand to fight covid we can scrub our chat to contain the infodemic here are some guideline","Successful"
1.0,175.0,1.0,0.40724778175354004,"chinese [[spy]] [[stole]] the [[coronavirus]] from a [[canadian]] lab",1.0,0.4685196280479431,"chinese [[children]] [[pulled]] the [[ropes]] from a [[neighboring]] lab","Failed"
0.0,41.0,0.0,0.395224928855896,"the covax facility is part of covax the vaccine [[pillar]] of the access to covid tool act accelerator which is [[coled]] by the cepivaccines gavi and who",0.0,0.4398882985115051,"the covax facility is part of covax the vaccine [[part]] of the access to covid tool act accelerator which is [[powered]] by the cepivaccines gavi and who","Failed"
0.0,63.0,0.0,0.4747167229652405,"the gallery like many art institution [[across]] the country ha been hit hard by the covid pandemic and is reportedly considering layoffs thanks to a drop in revenue",1.0,0.5074681043624878,"the gallery like many art institution [[on]] the country ha been hit hard by the covid pandemic and is reportedly considering layoffs thanks to a drop in revenue","Successful"
1.0,58.0,1.0,0.3679347634315491,"photo show the last meeting of a turkish doctor who died [[due]] to [[covid]] with his child in munich",1.0,0.37536317110061646,"photo show the last meeting of a turkish doctor who died [[previous]] to [[fighting]] with his child in munich","Failed"
1.0,149.0,1.0,0.41623562574386597,"famous kaanipakam temple ha been converted in to [[quartaine]] centre and in the audio a responsible person [[mention]] that the decision ha been [[taken]] by the collectorthe worst part is all are muslim and roming [[freely]] with chappal [[inside]] the templewill these muslim roam [[inside]] the masjid with chappal and shoe is chitoor short of masjid what happened to government inspection bangalow [[traveller]] bangalow lodge etc what are these authority trying to do",1.0,0.426435649394989,"famous kaanipakam temple ha been converted in to [[town]] centre and in the audio a responsible person [[comes]] that the decision ha been [[informed]] by the collectorthe worst part is all are muslim and roming [[here]] with chappal [[during]] the templewill these muslim roam [[over]] the masjid with chappal and shoe is chitoor short of masjid what happened to government inspection bangalow [[is]] bangalow lodge etc what are these authority trying to do","Failed"
1.0,50.0,1.0,0.3823356032371521,"air [[canada]] promise bonus aeroplan mile to any passenger that get covid",0.0,0.5099438428878784,"air [[may]] promise bonus aeroplan mile to any passenger that get covid","Successful"
1.0,180.0,1.0,0.39573752880096436,"trump [[offer]] to [[pardon]] [[coronavirus]] [[newsinphoto]] [[covid]] coronavirusnyc",1.0,0.44814252853393555,"trump [[threatened]] to [[become]] [[homo]] [[rex]] [[maximus]] coronavirusnyc","Failed"
1.0,52.0,1.0,0.3889811038970947,"is this [[new]] modas operandi currency note lying unclaimed on road triggered panic in hira [[nagar]] area of indore a city which ha emerged a one the [[prime]] covidindia hotspot in the country",0.0,0.5384676456451416,"is this [[only]] modas operandi currency note lying unclaimed on road triggered panic in hira [[un]] area of indore a city which ha emerged a one the [[first]] covidindia hotspot in the country","Successful"
0.0,66.0,0.0,0.3808315396308899,"rt drtedros during the [[covid]] pandemic it is even more important to [[find]] innovative [[solution]] to ensure that access to breastfeeding",0.0,0.3933491110801697,"rt drtedros during the [[human]] pandemic it is even more important to [[become]] innovative [[solutions]] to ensure that access to breastfeeding","Failed"
0.0,25.0,0.0,0.37829357385635376,"covid is a wildfire not a wave [[via]] billhanage",1.0,0.5900744795799255,"covid is a wildfire not a wave [[about]] billhanage","Successful"
