"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,99.0,1.0,0.3794139623641968,"it didn t have to be this bad [[donald]] trump [[utterly]] failed to prepare for this [[pandemic]] and delayed in taking the necessary step to safeguard our nation against the nearworstcaseeconomic [[scenario]] we are now living",0.0,0.5716679096221924,"it didn t have to be this bad [[hsia]] trump [[acutely]] failed to prepare for this [[epidemic]] and delayed in taking the necessary step to safeguard our nation against the nearworstcaseeconomic [[scenarios]] we are now living","Successful"
0.0,26.0,0.0,0.38547956943511963,"[[rt]] pmoindia the bed hospital at bihta patna will be inaugurated today and the bed hospital at muzaffarpur will be inaugurated ve",1.0,0.5204914808273315,"[[ta]] pmoindia the bed hospital at bihta patna will be inaugurated today and the bed hospital at muzaffarpur will be inaugurated ve","Successful"
0.0,173.0,0.0,0.27883195877075195,"a of june more than million covid [[case]] have been reported in the u s with [[state]] and jurisdiction reporting more than case continue to help slow the spread by staying home when sick and [[washing]] your [[hand]] [[often]]",1.0,0.5003001689910889,"a of june more than million covid [[lawsuits]] have been reported in the u s with [[nation]] and jurisdiction reporting more than case continue to help slow the spread by staying home when sick and [[rinsed]] your [[parte]] [[perpetually]]","Successful"
1.0,200.0,1.0,0.40782254934310913,"a tweet from donald [[trump]] [[said]] that he would never [[let]] [[thousand]] of [[american]] die from a pandemic while in [[office]]",1.0,0.4387381672859192,"a tweet from donald [[bitch]] [[alluded]] that he would never [[walkout]] [[hundreds]] of [[usa]] die from a pandemic while in [[bedroom]]","Failed"
0.0,200.0,0.0,0.32645660638809204,"coronavirusupdates indiafightscorona covid recovery [[rate]] soar past total recovery improved to and exceed [[active]] [[case]] by [[nearly]] lakh the actual [[caseload]] of the country is the active case which is only of the total positive [[case]]",0.0,0.3863365054130554,"coronavirusupdates indiafightscorona covid recovery [[tempo]] soar past total recovery improved to and exceed [[affirmative]] [[litigation]] by [[approximately]] lakh the actual [[workload]] of the country is the active case which is only of the total positive [[instances]]","Failed"
0.0,200.0,0.0,0.30576610565185547,"today we have no [[new]] [[case]] of covid to report our total number of [[confirmed]] case is now which is the number we report to the world health organization our combined total of [[confirmed]] and [[probable]] [[case]] is now",0.0,0.36864614486694336,"today we have no [[updated]] [[issue]] of covid to report our total number of [[emphasise]] case is now which is the number we report to the world health organization our combined total of [[assures]] and [[plausible]] [[litigation]] is now","Failed"
0.0,200.0,0.0,0.3298705220222473,"of the people who left managed [[isolation]] facility during this period people [[have]] now been contacted and have tested negative for covid of those were tested before leaving managed isolation and the [[remaining]] were [[tested]] after [[departure]] from the facility",0.0,0.3953559994697571,"of the people who left managed [[isolates]] facility during this period people [[ont]] now been contacted and have tested negative for covid of those were tested before leaving managed isolation and the [[surplus]] were [[audited]] after [[begins]] from the facility","Failed"
1.0,200.0,1.0,0.3941153287887573,"a [[video]] show that [[bill]] [[gate]] [[admits]] the [[vaccine]] [[will]] no [[doubt]] [[kill]] people",1.0,0.4228406548500061,"a [[videos]] show that [[receipts]] [[portal]] [[alleges]] the [[vaccinated]] [[lust]] no [[suspected]] [[decease]] people","Failed"
1.0,200.0,1.0,0.385226845741272,"covid [[barely]] kill anyone say [[man]] who would [[probably]] [[be]] pretty [[annoyed]] if we killed him",1.0,0.4172477126121521,"covid [[almost]] kill anyone say [[humans]] who would [[definitely]] [[arrive]] pretty [[indignant]] if we killed him","Failed"
1.0,152.0,1.0,0.3741881251335144,"the total [[number]] of death in [[brazil]] have [[decreased]] during the covid [[pandemic]]",0.0,0.5002689361572266,"the total [[suite]] of death in [[alegre]] have [[reductions]] during the covid [[outbreak]]","Successful"
0.0,117.0,0.0,0.32254648208618164,"coronavirus rhondda cynon taff to go into [[local]] [[lockdown]] amid [[rise]] in case",1.0,0.5272265672683716,"coronavirus rhondda cynon taff to go into [[locale]] [[locks]] amid [[hiked]] in case","Successful"
0.0,94.0,0.0,0.30513715744018555,"breaking labour [[leader]] sir keir starmer is selfisolating after a member of his household displayed possible coronavirus symptom get the [[latest]] on this [[story]] here",1.0,0.5221197605133057,"breaking labour [[skippers]] sir keir starmer is selfisolating after a member of his household displayed possible coronavirus symptom get the [[youngest]] on this [[mythical]] here","Successful"
0.0,200.0,0.0,0.3361726999282837,"joshtpm [[washington]] and [[new]] [[york]] are [[driving]] the [[number]] were [[falling]] [[further]] behind on ca testing [[number]] now that ma is out in the open the other [[big]] question mark is tx",0.0,0.3977724313735962,"joshtpm [[spokane]] and [[innovative]] [[bronx]] are [[behaviours]] the [[behalf]] were [[drops]] [[also]] behind on ca testing [[behalf]] now that ma is out in the open the other [[biggest]] question mark is tx","Failed"
1.0,200.0,1.0,0.38160353899002075,"when the mosquito come out everyone wear bug spray outside i [[might]] [[be]] wrong but i personally think that if a mosquito suck the [[blood]] of a person with coronavirus and then bite you the virus could [[spread]] to youim not smart but just [[do]] it to be [[safe]]",1.0,0.41196322441101074,"when the mosquito come out everyone wear bug spray outside i [[hazards]] [[pose]] wrong but i personally think that if a mosquito suck the [[bloodbath]] of a person with coronavirus and then bite you the virus could [[diffusion]] to youim not smart but just [[been]] it to be [[segura]]","Failed"
