"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,92.0,1.0,0.2704330086708069,"covid vaccine trial [[killed]] child in [[senegal]]",0.0,0.6751850843429565,"covid vaccine trial [[grew]] child in [[captive]]","Successful"
1.0,94.0,1.0,0.2789316177368164,"could miley [[cyrus]] [[vagina]] hold clue to vaccine",0.0,0.5093458890914917,"could miley [[or]] [[vaa]] hold clue to vaccine","Successful"
1.0,100.0,1.0,0.2725600004196167,"[[local]] badass only [[wash]] hand for second handwashing [[coronalockdown]]",1.0,0.49351489543914795,"[[w]] badass only [[crew]] hand for second handwashing [[coronalockservice]]","Failed"
1.0,100.0,1.0,0.27035975456237793,"[[muslimowned]] [[restaurant]] are spitting in food to spread coronavirus",1.0,0.43979424238204956,"[[muslimownfor]] [[host]] are spitting in food to spread coronavirus","Failed"
1.0,100.0,1.0,0.26935815811157227,"[[dr]] [[li]] wenliang [[discovered]] coffee can cure coronavirus",1.0,0.3303889036178589,"[[t]] [[lee]] wenliang [[discovery]] coffee can cure coronavirus","Failed"
0.0,51.0,0.0,0.29378366470336914,"equity accuracy and quality [[question]] surround the coronavirus vaccine",1.0,0.5998892784118652,"equity accuracy and quality [[is]] surround the coronavirus vaccine","Successful"
0.0,46.0,0.0,0.26901859045028687,"newly [[updated]] covid investigational drug and therapy",1.0,0.6577619910240173,"newly [[inn]] covid investigational drug and therapy","Successful"
1.0,95.0,1.0,0.29906702041625977,"[[july]] ha le death than july despite [[pandemic]]",0.0,0.5348786115646362,"[[d]] ha le death than july despite [[panderosa]]","Successful"
1.0,56.0,1.0,0.2818920612335205,"the vaccine against the new [[coronavirus]] ha existed since",0.0,0.5390254259109497,"the vaccine against the new [[coronamm]] ha existed since","Successful"
1.0,100.0,1.0,0.26923346519470215,"[[ugandan]] president [[announces]] the postponement of [[election]]",1.0,0.4725688695907593,"[[ugandaas]] president [[is]] the postponement of [[question]]","Failed"
0.0,1.0,1.0,0.5691883563995361,"conjunctivitis may sometimes be the only coronavirus symptom",1.0,0.5691883563995361,"conjunctivitis may sometimes be the only coronavirus symptom","Skipped"
1.0,52.0,1.0,0.4395168423652649,"u [[ha]] developed miracle drug remedesivir against covid",0.0,0.5982265472412109,"u [[the]] developed miracle drug remedesivir against covid","Successful"
1.0,94.0,1.0,0.29506099224090576,"social medium [[post]] on covid are [[punishable]] offence now",0.0,0.5062651038169861,"social medium [[posting]] on covid are [[punishcommon]] offence now","Successful"
1.0,95.0,1.0,0.274344265460968,"raisin [[prevents]] [[clotting]] thus help to fight covid",0.0,0.639449954032898,"raisin [[prevent]] [[clottiwith]] thus help to fight covid","Successful"
1.0,54.0,1.0,0.2700527310371399,"[[news]] report say student taking comedk got covid",0.0,0.5157669186592102,"[[information]] report say student taking comedk got covid","Successful"
1.0,100.0,1.0,0.26979899406433105,"5g is the [[cause]] of the coronavirus [[pandemic]]",1.0,0.28658491373062134,"5g is the [[development]] of the coronavirus [[pande]]!","Failed"
1.0,100.0,1.0,0.27779990434646606,"[[kid]] reach f [[k]] this shit stage of [[lockdown]]",0.0,0.5486717224121094,"[[know]] reach f [[at]] this shit stage of [[lock]]#","Successful"
0.0,49.0,0.0,0.28277796506881714,"some coronavirus patient are [[experiencing]] chronic fatigue",1.0,0.5686773657798767,"some coronavirus patient are [[on]] chronic fatigue","Successful"
1.0,100.0,1.0,0.2767678499221802,"[[corona]] virus [[must]] be [[stopped]] confirm irish music fan",0.0,0.5579549074172974,"[[ce]] virus [[country]] be [[be]] confirm irish music fan","Successful"
1.0,100.0,1.0,0.26909035444259644,"[[president]] [[donald]] trump [[announced]] commercialization of a vaccine",1.0,0.2776564955711365,"[[you]] [[an]] trump [[on]] commercialization of a vaccine","Failed"
1.0,92.0,1.0,0.27042168378829956,"[[trump]] offer to [[pardon]] coronavirus newsinphoto covid coronavirusnyc",0.0,0.5262644290924072,"[[my]] offer to [[apologies]] coronavirus newsinphoto covid coronavirusnyc","Successful"
1.0,100.0,1.0,0.2690480947494507,"[[say]] [[gov]] tony evers is [[pushing]] firearm confiscation order",0.0,0.512834906578064,"[[ask]] [[coordinator]] tony evers is [[advocating]] firearm confiscation order","Successful"
1.0,44.0,1.0,0.3046330213546753,"[[false]] positive result rate in pcr test is percent",0.0,0.6641560792922974,"[[non]] positive result rate in pcr test is percent","Successful"
1.0,40.0,1.0,0.31156450510025024,"country were exporting covid [[diagnostic]] test instrument in",0.0,0.5378915071487427,"country were exporting covid [[testing]] test instrument in","Successful"
1.0,94.0,1.0,0.2690938115119934,"[[chinese]] spy [[stole]] the coronavirus from a canadian lab",0.0,0.6775976419448853,"[[we]] spy [[stolen]] the coronavirus from a canadian lab","Successful"
0.0,48.0,0.0,0.2850314974784851,"covid mortality [[risk]] in bystander cpr event",1.0,0.5288960933685303,"covid mortality [[of]] in bystander cpr event","Successful"
1.0,53.0,1.0,0.30656862258911133,"who [[say]] that covid ha become endemic",0.0,0.6293109059333801,"who [[think]] that covid ha become endemic","Successful"
1.0,53.0,1.0,0.3216169476509094,"collective consciousness on ace receptor [[kill]] coronavirus",0.0,0.5088664293289185,"collective consciousness on ace receptor [[through]] coronavirus","Successful"
1.0,56.0,1.0,0.29920709133148193,"coping with coronavirus boredom quasimodo beavercrossing hobson [[schoice]]",0.0,0.5516122579574585,"coping with coronavirus boredom quasimodo beavercrossing hobson [[scho]];","Successful"
1.0,83.0,1.0,0.26920026540756226,"[[video]] of empty hospital show the covid is [[fake]]",0.0,0.5979899168014526,"[[we]] of empty hospital show the covid is [[now]]","Successful"
0.0,52.0,0.0,0.2895336151123047,"ai spot covid lung damage with [[accuracy]] er erscongress",1.0,0.5422108769416809,"ai spot covid lung damage with [[power]] er erscongress","Successful"
1.0,1.0,0.0,0.7176878452301025,"we cannot return to ed sheeran postcoronavirus warn expert",0.0,0.7176878452301025,"we cannot return to ed sheeran postcoronavirus warn expert","Skipped"
1.0,100.0,1.0,0.2694242596626282,"[[yatris]] are stuck at vaishno [[devi]] [[due]] to covid",0.0,0.6391950845718384,"[[yatrid]] are stuck at vaishno [[where]] [[through]] to covid","Successful"
1.0,100.0,1.0,0.26934170722961426,"[[italy]] is [[burying]] [[corona]] victim in mass graf",1.0,0.290311336517334,"[[usa]] is [[radcliffe]] [[a]] victim in mass graf","Failed"
1.0,83.0,1.0,0.2691113352775574,"[[delhi]] public school [[selling]] face mask for r each",0.0,0.6537214517593384,"[[which]] public school [[market]] face mask for r each","Successful"
1.0,100.0,1.0,0.2691441774368286,"[[nokia]] [[distributing]] free phone to student amidst coronavirus [[pandemic]]",1.0,0.3269970417022705,"[[t]] [[common]] free phone to student amidst coronavirus [[pandedanger]]","Failed"
1.0,94.0,1.0,0.2694229483604431,"[[news]] [[stoner]] surprised to learn britain is on lockdown",0.0,0.5312994718551636,"[[national]] [[stoned]] surprised to learn britain is on lockdown","Successful"
0.0,53.0,0.0,0.2689586877822876,"death continue falling the day [[average]] just edged under",1.0,0.664239764213562,"death continue falling the day [[sun]] just edged under","Successful"
1.0,100.0,1.0,0.26992589235305786,"[[cbs]] [[aired]] wrong video footage of a coronavirus [[hospital]]",1.0,0.395430326461792,"[[for]] [[caught]] wrong video footage of a coronavirus [[here]]","Failed"
1.0,91.0,1.0,0.2690250873565674,"[[post]] [[say]] sanitizer will do nothing for the coronavirus",0.0,0.6460573077201843,"[[current]] [[state]] sanitizer will do nothing for the coronavirus","Successful"
1.0,55.0,1.0,0.3008915185928345,"there ha been a [[pandemic]] every year",0.0,0.5908716917037964,"there ha been a [[pandehospital]] every year","Successful"
1.0,53.0,1.0,0.2725481390953064,"wearing a mask during physical activity [[cause]] hypercapnia syndrome",0.0,0.5402650833129883,"wearing a mask during physical activity [[may]] hypercapnia syndrome","Successful"
0.0,44.0,0.0,0.2740706205368042,"[[recommendation]] for treating colorectal cancer during the covid pandemic",1.0,0.6268110275268555,"[[from]] for treating colorectal cancer during the covid pandemic","Successful"
1.0,52.0,1.0,0.2707138657569885,"all india [[lock]] down increased till 4th may",0.0,0.6396321058273315,"all india [[tc]] down increased till 4th may","Successful"
1.0,90.0,1.0,0.26922690868377686,"[[italian]] parliament [[call]] for the arrest of bill gate",0.0,0.5334887504577637,"[[acc]] parliament [[long]] for the arrest of bill gate","Successful"
1.0,54.0,1.0,0.38532525300979614,"coronavirus doe not [[affect]] people with o blood type",0.0,0.5219178199768066,"coronavirus doe not [[affected]] people with o blood type","Successful"
0.0,89.0,0.0,0.2689790725708008,"[[hospitalized]] covid patient should all [[undergo]] mri",1.0,0.5516901016235352,"[[was]] covid patient should all [[after]] mri","Successful"
0.0,55.0,0.0,0.2689550518989563,"here is [[today]] map of new case",1.0,0.5494611263275146,"here is [[after]] map of new case","Successful"
1.0,52.0,1.0,0.3350607752799988,"fit people are [[immune]] to novel coronavirus",0.0,0.5354679226875305,"fit people are [[resistant]] to novel coronavirus","Successful"
1.0,1.0,0.0,0.5653773546218872,"israel ha already developed a vaccine against covid",0.0,0.5653773546218872,"israel ha already developed a vaccine against covid","Skipped"
