"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,57.0,0.0,0.48052942752838135,"here is todays map of [[new]] case",1.0,0.6257697343826294,"here is todays map of [[newfangled]] case","Successful"
1.0,64.0,1.0,0.36270231008529663,"[[news]] [[stoner]] [[surprised]] to [[learn]] [[britain]] is on lockdown",0.0,0.5139597654342651,"[[newsworthiness]] [[lapidator]] [[storm]] to [[ascertain]] [[UK]] is on lockdown","Successful"
1.0,86.0,1.0,0.36545330286026,"president giammattei [[said]] that the [[country]] ha covid [[test]]",1.0,0.3902282118797302,"president giammattei [[order]] that the [[nation]] ha covid [[quiz]]","Failed"
0.0,86.0,0.0,0.3699507713317871,"[[social]] distancing [[work]] for preventing other infectious disease too",1.0,0.5273041725158691,"[[mixer]] distancing [[crop]] for preventing other infectious disease too","Successful"
1.0,99.0,1.0,0.35558778047561646,"sir ganga [[ram]] hospital delhi [[issue]] covid prescription",1.0,0.3738718032836914,"sir ganga [[Aries]] hospital delhi [[subject]] covid prescription","Failed"
1.0,180.0,1.0,0.36137819290161133,"[[kid]] reach f k this [[shit]] stage of lockdown",0.0,0.5796307921409607,"[[minor]] reach f k this [[make]] stage of lockdown","Successful"
0.0,33.0,0.0,0.37473422288894653,"covid mortality [[risk]] in bystander cpr event",1.0,0.5832254886627197,"covid mortality [[adventure]] in bystander cpr event","Successful"
1.0,18.0,1.0,0.36513030529022217,"alfalfa is the only [[cure]] for covid",1.0,0.3664073944091797,"alfalfa is the only [[remedy]] for covid","Failed"
1.0,54.0,1.0,0.3652322292327881,"covid vaccine [[trial]] [[killed]] child in senegal",1.0,0.37468844652175903,"covid vaccine [[tribulation]] [[obliterate]] child in senegal","Failed"
0.0,99.0,0.0,0.3500335216522217,"here are the [[state]] [[reporting]] over [[case]] [[today]]",0.0,0.4554344415664673,"here are the [[commonwealth]] [[cover]] over [[vitrine]] [[now]]","Failed"
1.0,63.0,1.0,0.3567402958869934," [[israel]] ha already [[developed]] a [[vaccine]] against covid  ",1.0,0.3959892988204956," [[Sion]] ha already [[rise]] a [[vaccinum]] against covid  ","Failed"
1.0,62.0,1.0,0.3495945930480957," american scientist have [[developed]] a [[cure]] for the coronavirus  ",1.0,0.3773866295814514," american scientist have [[uprise]] a [[curative]] for the coronavirus  ","Failed"
1.0,70.0,1.0,0.3554515242576599,"[[news]] coronavirus [[suspect]] to be [[quarantined]] on love island",1.0,0.3715101480484009,"[[tidings]] coronavirus [[fishy]] to be [[isolated]] on love island","Failed"
1.0,62.0,1.0,0.35710495710372925,"covid [[kit]] for [[home]] [[linked]] to tata health",0.0,0.5876727104187012,"covid [[outfit]] for [[dwelling]] [[relate]] to tata health","Successful"
1.0,175.0,1.0,0.35429930686950684,"[[black]] [[magic]] at [[work]] in [[bathroom]] coronavirus blackmagic",0.0,0.5424052476882935,"[[melanize]] [[thaumaturgy]] at [[act]] in [[lav]] coronavirus blackmagic","Successful"
1.0,72.0,1.0,0.36282479763031006,"[[russia]] report [[huge]] spike in coronavirus [[death]] among journalist",1.0,0.3735196590423584,"[[USSR]] report [[Brobdingnagian]] spike in coronavirus [[expiry]] among journalist","Failed"
1.0,32.0,1.0,0.365822434425354,"sanitizer will do [[nothing]] for the coronavirus",1.0,0.3820716142654419,"sanitizer will do [[naught]] for the coronavirus","Failed"
1.0,56.0,1.0,0.3689371943473816,"the gate [[foundation]] ha the [[patent]] for this coronavirus",1.0,0.4529259204864502,"the gate [[basis]] ha the [[evident]] for this coronavirus","Failed"
1.0,97.0,1.0,0.3443106412887573,"[[italy]] [[registered]] new recovering [[case]] from coronavirus in hour",0.0,0.5338810682296753,"[[Italia]] [[record]] new recovering [[slip]] from coronavirus in hour","Successful"
1.0,81.0,1.0,0.35867154598236084,"[[g]] is the [[cause]] of the coronavirus pandemic",0.0,0.5441083908081055,"[[M]] is the [[effort]] of the coronavirus pandemic","Successful"
1.0,45.0,1.0,0.3538457751274109,"[[coping]] with coronavirus [[boredom]] quasimodo beavercrossing hobson schoice",1.0,0.38090622425079346,"[[apprehend]] with coronavirus [[tedium]] quasimodo beavercrossing hobson schoice","Failed"
1.0,56.0,1.0,0.3855084180831909,"u ha [[developed]] miracle drug remedesivir against covid",0.0,0.5533816814422607,"u ha [[uprise]] miracle drug remedesivir against covid","Successful"
1.0,53.0,1.0,0.3654492497444153,"[[inhaling]] [[hot]] [[water]] steam [[kill]] corona virus homemade",1.0,0.3897044062614441,"[[inhale]] [[spicy]] [[urine]] steam [[killing]] corona virus homemade","Failed"
1.0,87.0,1.0,0.3515675663948059,"[[prolonged]] use of the mask [[cause]] hypoxia",0.0,0.531324565410614,"[[protract]] use of the mask [[movement]] hypoxia","Successful"
0.0,1.0,1.0,0.6221053600311279,"asymptomatic coronavirus spread is rare who say",1.0,0.6221053600311279,"asymptomatic coronavirus spread is rare who say","Skipped"
1.0,75.0,1.0,0.3483293056488037,"mumbai to [[west]] [[bengal]] migrant [[train]] on th may",0.0,0.5261244773864746,"mumbai to [[westward]] [[Bengal]] migrant [[educate]] on th may","Successful"
1.0,85.0,1.0,0.3755031228065491,"collective [[consciousness]] on [[ace]] receptor [[kill]] coronavirus",0.0,0.5468121767044067,"collective [[awareness]] on [[first-rate]] receptor [[down]] coronavirus","Successful"
1.0,37.0,1.0,0.3739859461784363,"all india [[lock]] down increased [[till]] th may",0.0,0.5137407779693604,"all india [[ringlet]] down increased [[trough]] th may","Successful"
1.0,126.0,1.0,0.36387819051742554,"[[us]] bonhomme richard [[boast]] [[zero]] covid [[case]]",1.0,0.39469361305236816,"[[uracil]] bonhomme richard [[vaunt]] [[aught]] covid [[example]]","Failed"
1.0,29.0,1.0,0.36931920051574707,"beware of a donald trump vaccine jaredkushner billbarr",1.0,0.36931920051574707,"beware of a donald trump vaccine jaredkushner billbarr","Failed"
1.0,59.0,1.0,0.3482535481452942,"[[channel]] s jon [[snow]] is [[infected]] with coronavirus",1.0,0.4242766499519348,"[[channelize]] s jon [[C]] is [[taint]] with coronavirus","Failed"
1.0,94.0,1.0,0.36306726932525635,"[[delhi]] public [[school]] [[selling]] [[face]] mask for [[r]] each",1.0,0.3843519687652588,"[[Delhi]] public [[train]] [[betray]] [[brass]] mask for [[roentgen]] each","Failed"
1.0,67.0,1.0,0.3648402690887451,"infamous dubliner janey mac [[test]] [[positive]] for covid",1.0,0.3843783140182495,"infamous dubliner janey mac [[prove]] [[positivist]] for covid","Failed"
1.0,115.0,1.0,0.3644840121269226,"[[squeezing]] [[hot]] lemon water cure corona virus infection",1.0,0.3916829824447632,"[[squeeze]] [[red-hot]] lemon water cure corona virus infection","Failed"
1.0,63.0,1.0,0.4411563277244568,"you see [[suicide]] rate are skyrocketing now",0.0,0.5464153289794922,"you see [[felo-de-se]] rate are skyrocketing now","Successful"
1.0,160.0,1.0,0.36897367238998413,"[[italian]] parliament [[call]] for the [[arrest]] of [[bill]] gate",1.0,0.39006543159484863,"[[Italian]] parliament [[claim]] for the [[cop]] of [[broadsheet]] gate","Failed"
0.0,1.0,1.0,0.527961254119873,"arizona ha new covid case each day",1.0,0.527961254119873,"arizona ha new covid case each day","Skipped"
1.0,18.0,1.0,0.36860376596450806,"peru ha just [[nationalized]] [[hospital]] and clinic",1.0,0.43217432498931885,"peru ha just [[nationalise]] [[infirmary]] and clinic","Failed"
1.0,61.0,1.0,0.3787360191345215,"flight crash victim test [[positive]] for covid",0.0,0.6025073528289795,"flight crash victim test [[incontrovertible]] for covid","Successful"
1.0,128.0,1.0,0.3687024712562561,"[[video]] [[show]] a [[family]] that [[died]] from novel coronavirus",1.0,0.48484092950820923,"[[telecasting]] [[demonstrate]] a [[category]] that [[go]] from novel coronavirus","Failed"
1.0,42.0,1.0,0.37392014265060425,"[[fennel]] tea is a [[cure]] against the [[new]] coronavirus",1.0,0.3920111060142517,"[[finocchio]] tea is a [[curative]] against the [[novel]] coronavirus","Failed"
1.0,66.0,1.0,0.3529393672943115,"coronavirus patient [[bite]] a [[doctors]] jugular in the [[usa]]",1.0,0.3789598345756531,"coronavirus patient [[raciness]] a [[sophisticate]] jugular in the [[Army]]","Failed"
1.0,51.0,1.0,0.4316800832748413,"ag barr suggests an [[end]] to the coronavirus lockdown",0.0,0.5658649206161499,"ag barr suggests an [[conclusion]] to the coronavirus lockdown","Successful"
1.0,98.0,1.0,0.3599584102630615,"local badass only [[wash]] [[hand]] for [[second]] [[handwashing]] coronalockdown",1.0,0.4730578660964966,"local badass only [[airstream]] [[deal]] for [[secondly]] [[hand-wash]] coronalockdown","Failed"
1.0,43.0,1.0,0.3529213070869446,"[[salary]] pension of [[government]] employee will be [[deducted]]",0.0,0.5809008479118347,"[[remuneration]] pension of [[governance]] employee will be [[deduce]]","Successful"
