"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,135.0,1.0,0.3260054588317871,"a publication that affirms the coronavirus wa created in the united state to [[kill]] elderly people and stop g development",0.0,0.693352222442627,"a publication that affirms the coronavirus wa created in the united state to [[defeat]] elderly people and stop g development","Successful"
1.0,107.0,1.0,0.2689794898033142,"[[quote]] joe biden a [[saying]] [[people]] who have never died before are now [[dying]] from coronavirus",0.0,0.5419344902038574,"[[citation]] joe biden a [[read]] [[multitude]] who have never died before are now [[anxious]] from coronavirus","Successful"
1.0,1.0,0.0,0.5594520568847656,"you see suicide rate are skyrocketing now",0.0,0.5594520568847656,"you see suicide rate are skyrocketing now","Skipped"
0.0,271.0,0.0,0.2689462900161743,"[[new]] [[report]] in cdcmmwr [[found]] [[higher]] percentage of [[people]] in racial [[ethnic]] minority [[group]] who [[died]] of covid were under [[read]] the [[report]] to [[learn]] more",0.0,0.38434356451034546,"[[novel]] [[paper]] in cdcmmwr [[bump]] [[gamey]] percentage of [[masses]] in racial [[heathen]] minority [[radical]] who [[croak]] of covid were under [[say]] the [[paper]] to [[teach]] more","Failed"
1.0,1.0,0.0,0.7310506105422974,"a paper estimating that covid case could be linked to a motorcycle rally in south dakota took off online expert agreed that the rally had the making of a superspreading event but warned that case may be an overestimate",0.0,0.7310506105422974,"a paper estimating that covid case could be linked to a motorcycle rally in south dakota took off online expert agreed that the rally had the making of a superspreading event but warned that case may be an overestimate","Skipped"
0.0,278.0,0.0,0.26894712448120117,"the [[highlight]] of the [[new]] [[nationwide]] [[measure]] are a [[follows]] there will be an [[overnight]] curfew from [[p]] m to am this [[mean]] all [[movement]] will be [[prohibited]] during this [[period]] [[except]] [[essential]] service takeresponsibility",0.0,0.3351418972015381,"the [[foreground]] of the [[novel]] [[countrywide]] [[bill]] are a [[espouse]] there will be an [[all-night]] curfew from [[phosphorus]] m to am this [[hateful]] all [[campaign]] will be [[verboten]] during this [[menstruum]] [[omit]] [[necessity]] service takeresponsibility","Failed"
1.0,77.0,1.0,0.2693938612937927,"covid patinet in kanpur india [[left]] [[outside]] the hopsital without any treatment",0.0,0.627814769744873,"covid patinet in kanpur india [[provide]] [[international]] the hopsital without any treatment","Successful"
1.0,241.0,1.0,0.26934611797332764,"[[indian]] state saw a decrease in active coronavirus case in the last hour list includes big [[name]] like delhi maharashtra hope",0.0,0.7259474992752075,"[[Amerindic]] state saw a decrease in active coronavirus case in the last hour list includes big [[diagnose]] like delhi maharashtra hope","Successful"
0.0,72.0,0.0,0.2690795660018921,"who covid [[transmission]] [[may]] [[include]] viral particle that [[remain]] airborne for longer than previously understood",1.0,0.5133771300315857,"who covid [[transmitting]] [[whitethorn]] [[admit]] viral particle that [[rest]] airborne for longer than previously understood","Successful"
0.0,284.0,0.0,0.2689589858055115,"utaheconomist robertgehrke [[mr]] mikeparker [[wait]] this is not covidtracking [[time]] series [[right]] you [[guy]] are [[giving]] me a [[heart]] [[attack]] alexismadrigal",0.0,0.26906150579452515,"utaheconomist robertgehrke [[Mister]] mikeparker [[waitress]] this is not covidtracking [[clip]] series [[rightfulness]] you [[roast]] are [[apply]] me a [[pump]] [[assail]] alexismadrigal","Failed"
1.0,1.0,0.0,0.7064250111579895,"a person with a cold or flu will test positive for covid",0.0,0.7064250111579895,"a person with a cold or flu will test positive for covid","Skipped"
0.0,334.0,0.0,0.2689463496208191,"the [[latest]] cdc covidview [[report]] [[show]] the percentage of people testing [[positive]] for covid remains stable nationally but increased in of region with the south east south central and south west [[coast]] [[region]] [[seeing]] the [[highest]] percentage",1.0,0.545254647731781,"the [[late]] cdc covidview [[study]] [[prove]] the percentage of people testing [[electropositive]] for covid remains stable nationally but increased in of region with the south east south central and south west [[seacoast]] [[neighborhood]] [[image]] the [[gamey]] percentage","Successful"
0.0,473.0,0.0,0.2689450979232788,"[[people]] in scotland have been [[banned]] from [[visiting]] other household indoors in [[tough]] [[new]] [[restriction]] that [[go]] further than those [[announced]] for england [[get]] more on the [[new]] [[measure]] in scotland here",0.0,0.39724934101104736,"[[multitude]] in scotland have been [[prohibited]] from [[chitchat]] other household indoors in [[goon]] [[Modern]] [[confinement]] that [[die]] further than those [[harbinger]] for england [[let]] more on the [[unexampled]] [[bill]] in scotland here","Failed"
1.0,49.0,1.0,0.4875742197036743,"coronavirus patient [[bite]] a doctors jugular in the usa",0.0,0.629067599773407,"coronavirus patient [[snack]] a doctors jugular in the usa","Successful"
1.0,208.0,1.0,0.40496039390563965,"video [[showing]] black people being attacked by asian people have been shared thousand of time online in recent week although african living in china have reported discrimination linked to the coronavirus pandemic",0.0,0.7303297519683838,"video [[read]] black people being attacked by asian people have been shared thousand of time online in recent week although african living in china have reported discrimination linked to the coronavirus pandemic","Successful"
1.0,95.0,1.0,0.32379990816116333,"new mask exemption [[card]] indicates medical condition of being an asshole covid",0.0,0.5926403999328613,"new mask exemption [[lineup]] indicates medical condition of being an asshole covid","Successful"
0.0,291.0,0.0,0.26894646883010864,"shaskell yeah i will believe this when i [[see]] it there s no [[evidence]] the [[system]] ha that [[capacity]] [[especially]] when of [[test]] are [[coming]] [[back]] [[positive]] alexismadrigal",0.0,0.26955646276474,"shaskell yeah i will believe this when i [[escort]] it there s no [[testify]] the [[scheme]] ha that [[capacitance]] [[specially]] when of [[exam]] are [[orgasm]] [[dorsum]] [[electropositive]] alexismadrigal","Failed"
0.0,129.0,0.0,0.271220326423645,"[[low]] vitamind wa an [[independent]] predictor of [[worse]] prognosis in patient with covid",1.0,0.5914194583892822,"[[moo]] vitamind wa an [[mugwump]] predictor of [[spoiled]] prognosis in patient with covid","Successful"
0.0,152.0,0.0,0.2689474821090698,"rt drharshvardhan covid update [[india]] [[record]] more than [[recovery]] for [[two]] [[day]] in a [[row]] these [[high]] [[level]] of [[recovery]] have",0.0,0.26924067735671997,"rt drharshvardhan covid update [[Bharat]] [[disk]] more than [[retrieval]] for [[deuce]] [[daylight]] in a [[quarrel]] these [[gamey]] [[plane]] of [[retrieval]] have","Failed"
0.0,200.0,0.0,0.2691354751586914,"texas meanwhile [[set]] a new [[record]] for the [[number]] of patient currently hospitalized with covid",1.0,0.6703646183013916,"texas meanwhile [[arrange]] a new [[tape]] for the [[numeral]] of patient currently hospitalized with covid","Successful"
0.0,361.0,0.0,0.26894664764404297,"while most attention ha been [[focused]] on the [[big]] outbreak across the southeast and in arizona there are several state outside the region that look to be on the verge of [[seeing]] much [[higher]] [[level]] of [[transmission]]",1.0,0.611998438835144,"while most attention ha been [[pore]] on the [[freehanded]] outbreak across the southeast and in arizona there are several state outside the region that look to be on the verge of [[image]] much [[gamey]] [[rase]] of [[contagion]]","Successful"
1.0,291.0,1.0,0.272427499294281,"a tweet from president donald [[trump]] that say before the u s issue financial assistance to individual to deal with the coronavirus pandemic we will go through your social medium history from the last year and search for any [[post]] with notmyp",0.0,0.5257630348205566,"a tweet from president donald [[best]] that say before the u s issue financial assistance to individual to deal with the coronavirus pandemic we will go through your social medium history from the last year and search for any [[situation]] with notmyp","Successful"
0.0,409.0,0.0,0.26894551515579224,"[[cabinet]] will again [[review]] the [[setting]] of [[alert]] [[level]] on june and have [[agreed]] that no [[later]] than june [[week]] from [[today]] they will [[consider]] a [[move]] to [[alert]] [[level]] covid covidnz",1.0,0.5401405096054077,"[[console]] will again [[revue]] the [[dress]] of [[zippy]] [[stratum]] on june and have [[jibe]] that no [[ulterior]] than june [[hebdomad]] from [[nowadays]] they will [[count]] a [[displace]] to [[snappy]] [[charge]] covid covidnz","Successful"
1.0,96.0,1.0,0.26899176836013794,"local badass only [[wash]] [[hand]] for [[second]] handwashing coronalockdown",0.0,0.6157654523849487,"local badass only [[airstream]] [[reach]] for [[secondly]] handwashing coronalockdown","Successful"
1.0,420.0,1.0,0.26896244287490845,"[[cold]] [[weather]] will [[kill]] coronavirus no [[wait]] [[hot]] [[weather]] will [[kill]] corona did you also [[fall]] for these [[contradictory]] [[hoax]] dont [[fall]] the [[fake]] [[news]] misinformation participate in our mainbhinewschecker initiative we will [[fight]] the infodemic together coronavirusfacts",0.0,0.5601145029067993,"[[stale]] [[endure]] will [[down]] coronavirus no [[delay]] [[live]] [[conditions]] will [[down]] corona did you also [[flow]] for these [[conflicting]] [[fraud]] dont [[flow]] the [[simulated]] [[intelligence]] misinformation participate in our mainbhinewschecker initiative we will [[competitiveness]] the infodemic together coronavirusfacts","Successful"
0.0,323.0,0.0,0.26894915103912354,"indiafightscorona [[following]] the [[national]] [[lead]] [[state]] [[ut]] are [[also]] [[reporting]] a [[higher]] [[number]] of [[new]] [[recovery]] than the [[new]] [[case]]",0.0,0.2690477967262268,"indiafightscorona [[followers]] the [[subject]] [[leash]] [[DoS]] [[doh]] are [[besides]] [[coverage]] a [[gamey]] [[numeral]] of [[newfangled]] [[retrieval]] than the [[newfangled]] [[font]]","Failed"
0.0,344.0,0.0,0.26894575357437134,"cdc update expands list of those at risk of [[severe]] covid illness [[older]] adult people w underlying [[medical]] condition remain at increased risk for [[severe]] illness cdc ha now further defined [[age]] conditionrelated [[risk]] [[see]] today s [[statement]]",1.0,0.6848889589309692,"cdc update expands list of those at risk of [[grievous]] covid illness [[honest-to-god]] adult people w underlying [[aesculapian]] condition remain at increased risk for [[grievous]] illness cdc ha now further defined [[geezerhood]] conditionrelated [[gamble]] [[image]] today s [[argument]]","Successful"
