"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,72.0,0.0,0.26943260431289673,"here is todays map of new [[case]]",1.0,0.7228039503097534,"here is todays map of new [[pillowcase]]","Successful"
1.0,45.0,1.0,0.26900702714920044,"[[news]] [[stoner]] [[surprised]] to learn britain is on lockdown",0.0,0.563429057598114,"[[tidings]] [[lapidator]] [[surprise]] to learn britain is on lockdown","Successful"
1.0,69.0,1.0,0.26970142126083374,"[[president]] giammattei [[said]] that the country ha covid test",0.0,0.5189957022666931,"[[chair]] giammattei [[enjoin]] that the country ha covid test","Successful"
0.0,92.0,0.0,0.26954185962677,"[[social]] distancing [[work]] for [[preventing]] other infectious disease too",1.0,0.6103806495666504,"[[societal]] distancing [[sour]] for [[forbid]] other infectious disease too","Successful"
1.0,99.0,1.0,0.26973074674606323,"sir ganga [[ram]] [[hospital]] delhi [[issue]] covid prescription",1.0,0.2788543701171875,"sir ganga [[Aries]] [[infirmary]] delhi [[upshot]] covid prescription","Failed"
1.0,138.0,1.0,0.2854759693145752,"[[kid]] reach f k this shit stage of lockdown",0.0,0.617682933807373,"[[banter]] reach f k this shit stage of lockdown","Successful"
0.0,42.0,0.0,0.27320754528045654,"covid [[mortality]] [[risk]] in bystander cpr [[event]]",1.0,0.618909478187561,"covid [[deathrate]] [[adventure]] in bystander cpr [[issue]]","Successful"
1.0,18.0,1.0,0.269852876663208,"alfalfa is the only [[cure]] for covid",1.0,0.2897036671638489,"alfalfa is the only [[heal]] for covid","Failed"
1.0,54.0,1.0,0.27487045526504517,"covid [[vaccine]] trial [[killed]] [[child]] in senegal",1.0,0.35691165924072266,"covid [[vaccinum]] trial [[defeat]] [[tike]] in senegal","Failed"
0.0,99.0,0.0,0.26895278692245483,"here are the [[state]] [[reporting]] over [[case]] [[today]]",1.0,0.649821400642395,"here are the [[express]] [[cover]] over [[lawsuit]] [[nowadays]]","Successful"
1.0,63.0,1.0,0.26956456899642944," [[israel]] ha already [[developed]] a [[vaccine]] against covid  ",1.0,0.30747032165527344," [[Sion]] ha already [[arise]] a [[vaccinum]] against covid  ","Failed"
1.0,61.0,1.0,0.26927030086517334," american scientist have [[developed]] a [[cure]] for the coronavirus  ",0.0,0.6278038024902344," american scientist have [[educate]] a [[heal]] for the coronavirus  ","Successful"
1.0,70.0,1.0,0.26898330450057983,"[[news]] coronavirus [[suspect]] to be [[quarantined]] on [[love]] island",1.0,0.45560944080352783,"[[tidings]] coronavirus [[distrust]] to be [[isolated]] on [[know]] island","Failed"
1.0,47.0,1.0,0.27774882316589355,"covid kit for home [[linked]] to tata health",0.0,0.5026134848594666,"covid kit for home [[relate]] to tata health","Successful"
1.0,126.0,1.0,0.3014892339706421,"[[black]] magic at work in bathroom coronavirus blackmagic",0.0,0.6254709362983704,"[[nigrify]] magic at work in bathroom coronavirus blackmagic","Successful"
1.0,72.0,1.0,0.2691958546638489,"[[russia]] [[report]] [[huge]] [[spike]] in coronavirus [[death]] among [[journalist]]",1.0,0.2946348786354065,"[[USSR]] [[story]] [[vast]] [[fortify]] in coronavirus [[demise]] among [[diarist]]","Failed"
1.0,32.0,1.0,0.305807888507843,"sanitizer will do [[nothing]] for the coronavirus",0.0,0.56792151927948,"sanitizer will do [[nada]] for the coronavirus","Successful"
1.0,55.0,1.0,0.2693498730659485,"the gate [[foundation]] ha the [[patent]] for this coronavirus",0.0,0.7008335590362549,"the gate [[instauration]] ha the [[apparent]] for this coronavirus","Successful"
1.0,102.0,1.0,0.26956915855407715,"[[italy]] registered new [[recovering]] [[case]] from coronavirus in [[hour]]",0.0,0.5351296663284302,"[[Italia]] registered new [[retrieve]] [[instance]] from coronavirus in [[minute]]","Successful"
1.0,62.0,1.0,0.2749102711677551,"g is the [[cause]] of the coronavirus pandemic",0.0,0.513325572013855,"g is the [[effort]] of the coronavirus pandemic","Successful"
1.0,45.0,1.0,0.2713611125946045,"[[coping]] with coronavirus [[boredom]] quasimodo beavercrossing hobson schoice",1.0,0.2911432981491089,"[[contend]] with coronavirus [[ennui]] quasimodo beavercrossing hobson schoice","Failed"
1.0,56.0,1.0,0.2745245099067688,"u ha [[developed]] miracle drug remedesivir against covid",0.0,0.5393385291099548,"u ha [[arise]] miracle drug remedesivir against covid","Successful"
1.0,53.0,1.0,0.26901692152023315,"[[inhaling]] hot [[water]] steam [[kill]] corona virus homemade",1.0,0.28752875328063965,"[[inhale]] hot [[irrigate]] steam [[pop]] corona virus homemade","Failed"
1.0,70.0,1.0,0.2726348638534546,"[[prolonged]] use of the mask cause hypoxia",0.0,0.7160382866859436,"[[extend]] use of the mask cause hypoxia","Successful"
0.0,75.0,0.0,0.27905118465423584,"[[asymptomatic]] coronavirus [[spread]] is rare who say",1.0,0.5510776042938232,"[[symptomless]] coronavirus [[paste]] is rare who say","Successful"
1.0,68.0,1.0,0.28917157649993896,"mumbai to west bengal migrant [[train]] on th may",0.0,0.7246767282485962,"mumbai to west bengal migrant [[educate]] on th may","Successful"
1.0,51.0,1.0,0.3474520444869995,"collective [[consciousness]] on ace receptor kill coronavirus",0.0,0.7214922904968262,"collective [[cognisance]] on ace receptor kill coronavirus","Successful"
1.0,35.0,1.0,0.2705678939819336,"all india [[lock]] down increased till th may",0.0,0.6568698883056641,"all india [[engage]] down increased till th may","Successful"
1.0,119.0,1.0,0.2705152630805969,"us bonhomme richard [[boast]] [[zero]] covid [[case]]",0.0,0.5460991263389587,"us bonhomme richard [[blow]] [[cypher]] covid [[example]]","Successful"
1.0,29.0,1.0,0.26935911178588867,"[[beware]] of a donald [[trump]] vaccine jaredkushner billbarr",1.0,0.27112799882888794,"[[mind]] of a donald [[outflank]] vaccine jaredkushner billbarr","Failed"
1.0,59.0,1.0,0.26967310905456543,"[[channel]] s jon [[snow]] is [[infected]] with coronavirus",1.0,0.45222169160842896,"[[impart]] s jon [[C]] is [[taint]] with coronavirus","Failed"
1.0,63.0,1.0,0.26905715465545654,"delhi public school [[selling]] face [[mask]] for r each",0.0,0.6168992519378662,"delhi public school [[betray]] face [[dissemble]] for r each","Successful"
1.0,52.0,1.0,0.27467989921569824,"[[infamous]] dubliner janey mac test [[positive]] for covid",0.0,0.534954845905304,"[[ill-famed]] dubliner janey mac test [[positivist]] for covid","Successful"
1.0,111.0,1.0,0.2690184712409973,"[[squeezing]] [[hot]] [[lemon]] [[water]] [[cure]] corona virus infection",0.0,0.7078725099563599,"[[constrict]] [[live]] [[gamboge]] [[piddle]] [[therapeutic]] corona virus infection","Successful"
1.0,63.0,1.0,0.3637081980705261,"you see [[suicide]] rate are skyrocketing now",0.0,0.572767436504364,"you see [[felo-de-se]] rate are skyrocketing now","Successful"
1.0,143.0,1.0,0.26909464597702026,"italian [[parliament]] [[call]] for the arrest of [[bill]] gate",0.0,0.6070371866226196,"italian [[sevens]] [[predict]] for the arrest of [[notice]] gate","Successful"
0.0,59.0,0.0,0.30929213762283325,"arizona ha [[new]] covid case each day",1.0,0.7125358581542969,"arizona ha [[newfangled]] covid case each day","Successful"
1.0,18.0,1.0,0.26975321769714355,"peru ha just [[nationalized]] [[hospital]] and clinic",1.0,0.27327877283096313,"peru ha just [[nationalise]] [[infirmary]] and clinic","Failed"
1.0,1.0,0.0,0.5567538738250732,"flight crash victim test positive for covid",0.0,0.5567538738250732,"flight crash victim test positive for covid","Skipped"
1.0,109.0,1.0,0.2691516876220703,"[[video]] [[show]] a family that [[died]] from novel coronavirus",0.0,0.6834686398506165,"[[telecasting]] [[point]] a family that [[go]] from novel coronavirus","Successful"
1.0,42.0,1.0,0.26909172534942627,"fennel [[tea]] is a [[cure]] against the [[new]] coronavirus",1.0,0.2719995975494385,"fennel [[teatime]] is a [[therapeutic]] against the [[newfangled]] coronavirus","Failed"
1.0,62.0,1.0,0.27270734310150146,"coronavirus patient [[bite]] a [[doctors]] jugular in the usa",0.0,0.643191397190094,"coronavirus patient [[collation]] a [[Dr]]. jugular in the usa","Successful"
1.0,42.0,1.0,0.48058968782424927,"ag barr [[suggests]] an end to the coronavirus lockdown",0.0,0.6577268838882446,"ag barr [[propose]] an end to the coronavirus lockdown","Successful"
1.0,78.0,1.0,0.2853062152862549,"local badass only [[wash]] [[hand]] for second handwashing coronalockdown",0.0,0.5401081442832947,"local badass only [[airstream]] [[reach]] for second handwashing coronalockdown","Successful"
1.0,37.0,1.0,0.28975164890289307,"[[salary]] pension of government employee will be [[deducted]]",0.0,0.7014870047569275,"[[remuneration]] pension of government employee will be [[subtract]]","Successful"
1.0,1.0,0.0,0.6452480554580688,"we cannot return to ed sheeran postcoronavirus warn expert",0.0,0.6452480554580688,"we cannot return to ed sheeran postcoronavirus warn expert","Skipped"
1.0,72.0,1.0,0.268990695476532,"not a [[single]] [[muslim]] [[died]] of coronavirus in [[china]]",1.0,0.3112679123878479,"not a [[I]] [[Moslem]] [[expire]] of coronavirus in [[PRC]]","Failed"
1.0,43.0,1.0,0.27011340856552124,"[[country]] were [[exporting]] covid diagnostic test [[instrument]] in",0.0,0.6029735803604126,"[[state]] were [[exportation]] covid diagnostic test [[pawn]] in","Successful"
1.0,86.0,1.0,0.2691485285758972,"muslimowned restaurant are [[spitting]] in [[food]] to [[spread]] coronavirus",1.0,0.28996968269348145,"muslimowned restaurant are [[ptyalize]] in [[nutrient]] to [[outspread]] coronavirus","Failed"
1.0,70.0,1.0,0.2699517607688904,"cbs [[aired]] [[wrong]] [[video]] footage of a coronavirus [[hospital]]",1.0,0.27394819259643555,"cbs [[ventilate]] [[improper]] [[telecasting]] footage of a coronavirus [[infirmary]]","Failed"
1.0,54.0,1.0,0.2691672444343567,"[[president]] [[trumps]] facemask [[speaks]] out donaldtrump coronavirus covid facemasks",1.0,0.2707127332687378,"[[chairwoman]] [[best]] facemask [[speak]] out donaldtrump coronavirus covid facemasks","Failed"
