"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,1.0,1.0,0.6653791069984436,"the story line was rather interesting  but the characters were rather flat and at times too extreme in their thoughts behavior  more extreme than necessary  also  i think something went wrong in the casting  john turtorro doesn t really satisfy me playing a semi autistic chess player  not to speak of the italian player  motives weren t very much outlined either     ",1.0,0.6653791069984436,"the story line was rather interesting  but the characters were rather flat and at times too extreme in their thoughts behavior  more extreme than necessary  also  i think something went wrong in the casting  john turtorro doesn t really satisfy me playing a semi autistic chess player  not to speak of the italian player  motives weren t very much outlined either     ","Skipped"
0.0,88.0,0.0,0.3883540630340576,"i don t quite know how to explain  darkend room  because to summarize it wouldn t really do it justice  it s a quintessentially lynchian short film with two beautiful girls in a strange  mysterious situation  i would say this short is definitely more on the  mulholland drive  end of the lynchian spectrum  as opposed to  the elephant man  or  the straight story  it s hidden on lynch s website  and well [[worth]] the search ",1.0,0.5184614658355713,"i don t quite know how to explain  darkend room  because to summarize it wouldn t really do it justice  it s a quintessentially lynchian short film with two beautiful girls in a strange  mysterious situation  i would say this short is definitely more on the  mulholland drive  end of the lynchian spectrum  as opposed to  the elephant man  or  the straight story  it s hidden on lynch s website  and well [[on]] the search ","Successful"
0.0,194.0,0.0,0.3907434940338135,"although i [[ought]] this film by accident  i thought it was the original halloween stupid eh  i was surprised by how [[good]] it was  many sequels just continue the events of the [[previous]] films  this however tried and succeeded in explaining the events of the prequels  why does michael myers kill people and how come he seems to have supernatural abilities  i thought this was a [[top]] horror film full of action  suspense and surprises  i m very glad i [[ought]] it  i ve given it   out of   ",1.0,0.6035205125808716,"although i [[find]] this film by accident  i thought it was the original halloween stupid eh  i was surprised by how [[horrible]] it was  many sequels just continue the events of the [[different]] films  this however tried and succeeded in explaining the events of the prequels  why does michael myers kill people and how come he seems to have supernatural abilities  i thought this was a [[bad]] horror film full of action  suspense and surprises  i m very glad i [[make]] it  i ve given it   out of   ","Successful"
0.0,166.0,0.0,0.40318453311920166,"     heather graham is not just a pretty [[face]] she is also an [[extremely]] talented actress  she [[adds]] a unique flavour to the [[movie]]  overall it s an intelligent and [[yet]] compassionate [[look]] at love marriage and relationships i [[thoroughly]] [[enjoyed]] it ",0.0,0.41447728872299194,"     heather graham is not just a pretty [[girl]] she is also an [[truly]] talented actress  she [[give]] a unique flavour to the [[film]]  overall it s an intelligent and [[so]] compassionate [[glance]] at love marriage and relationships i [[fully]] [[appreciate]] it ","Failed"
1.0,133.0,1.0,0.34060007333755493,"if this is the first of the  nemesis  films that you have [[seen]]  then i [[strongly]] urge you to proceed no further  the sequels to  nebula  [[prove]] to be no better hard to believe considering this entry is [[bottom]] of the barrel  this movie tries  but it s just not [[worth]] your time  folks  take a nap instead ",1.0,0.37687569856643677,"if this is the first of the  nemesis  films that you have [[witnessed]]  then i [[deeply]] urge you to proceed no further  the sequels to  nebula  [[be]] to be no better hard to believe considering this entry is [[clear]] of the barrel  this movie tries  but it s just not [[into]] your time  folks  take a nap instead ","Failed"
0.0,96.0,0.0,0.3930549621582031,"this is one of the funniest [[movies]] i have ever seen  this  in my [[opinion]]  is rob lowe at his best  i m not [[quite]] sure why this film has [[gotten]] such a low rating  i guess you either [[love]] it or hate it  but if nothing else  it is [[definitely]] worth a rental ",0.0,0.4028396010398865,"this is one of the funniest [[movie]] i have ever seen  this  in my [[mind]]  is rob lowe at his best  i m not [[truly]] sure why this film has [[have]] such a low rating  i guess you either [[hate]] it or hate it  but if nothing else  it is [[well]] worth a rental ","Failed"
0.0,182.0,0.0,0.4121168851852417,"i [[never]] saw this [[movie]] until i bought the tape last [[year]]  i was enthralled and entertained  it has all the elements of what i [[love]] to see in a sci fi story  in a [[book]] or on the screen  there s social commentary  speculation  and a [[good]] story     there s something eerie  and amusing  [[watching]] a   view of the  distant future  of the 60s and 70s     i think it s a must [[see]]  and not only for sci fiers ",0.0,0.4215107560157776,"i [[hardly]] saw this [[movies]] until i bought the tape last [[years]]  i was enthralled and entertained  it has all the elements of what i [[grew]] to see in a sci fi story  in a [[story]] or on the screen  there s social commentary  speculation  and a [[great]] story     there s something eerie  and amusing  [[offering]] a   view of the  distant future  of the 60s and 70s     i think it s a must [[visit]]  and not only for sci fiers ","Failed"
1.0,270.0,1.0,0.33340227603912354,"the [[ringmaster]] stars jerry springer as a tv talkshow host called [[jerry]]   but it s not the jerry springer show   his [[guests]] are trailer trash   but not the trailer [[trash]] you [[get]] on the jerry springer [[show]]  they attack one [[another]]   but not like on what is the point of [[making]] a movie about the jerry springer show and [[pretending]] it s not the jerry springer show   and on top of that this is a very [[boring]] film",1.0,0.49197810888290405,"the [[album]] stars jerry springer as a tv talkshow host called [[mr]]   but it s not the jerry springer show   his [[children]] are trailer trash   but not the trailer [[things]] you [[said]] on the jerry springer [[shows]]  they attack one [[the]]   but not like on what is the point of [[hearing]] a movie about the jerry springer show and [[i]] it s not the jerry springer show   and on top of that this is a very [[little]] film","Failed"
0.0,179.0,0.0,0.40787363052368164,"harem suare is the best [[film]] i saw in the year    avo ferzan ozpetek  [[sensually]] shot and stunningly portrayed  harem suare is a bold film that [[tackles]] interracial romance  which is such a taboo in hollywood  [[women]] of all shapes  sizes  and color  populate the [[film]]  cut off from the outside world  the [[women]] [[entertain]] each other by telling stories about intrigue  rivalry and [[jealousies]] within their ranks ",0.0,0.4199441075325012,"harem suare is the best [[films]] i saw in the year    avo ferzan ozpetek  [[first]] shot and stunningly portrayed  harem suare is a bold film that [[depicted]] interracial romance  which is such a taboo in hollywood  [[guys]] of all shapes  sizes  and color  populate the [[movies]]  cut off from the outside world  the [[ladies]] [[entertained]] each other by telling stories about intrigue  rivalry and [[strength]] within their ranks ","Failed"
0.0,183.0,0.0,0.38688063621520996,"not only was this movie better than all the final season of h lots  but it was [[better]] than any movie made for tv i have ever seen     [[looking]] at the  top    i see that only one [[small]] screen movie has made it  how the grinch stole christmas  i think it is time to increase that group to       i will [[admit]] that the original series had several shows that were better than this  but i didn t mind  i just loved being able to [[enter]] the world of the baltimore homicide squad again ",1.0,0.5047840476036072,"not only was this movie better than all the final season of h lots  but it was [[less]] than any movie made for tv i have ever seen     [[sure]] at the  top    i see that only one [[solid]] screen movie has made it  how the grinch stole christmas  i think it is time to increase that group to       i will [[like]] that the original series had several shows that were better than this  but i didn t mind  i just loved being able to [[appreciate]] the world of the baltimore homicide squad again ","Successful"
