"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,56.0,1.0,0.2692927122116089,"it didn t have to be this bad [[donald]] trump utterly failed to prepare for this pandemic and delayed in taking the necessary step to safeguard our [[nation]] against the nearworstcaseeconomic scenario we are now living",0.0,0.5733503103256226,"it didn t have to be this bad [[hsia]] trump utterly failed to prepare for this pandemic and delayed in taking the necessary step to safeguard our [[country]] against the nearworstcaseeconomic scenario we are now living","Successful"
0.0,56.0,0.0,0.2692601680755615,"[[rt]] pmoindia the [[bed]] [[hospital]] at bihta patna will be inaugurated today and the bed hospital at muzaffarpur will be inaugurated ve",1.0,0.5454690456390381,"[[ta]] pmoindia the [[pedestals]] [[hospitals]] at bihta patna will be inaugurated today and the bed hospital at muzaffarpur will be inaugurated ve","Successful"
0.0,184.0,0.0,0.26895564794540405,"a of june more than million covid case have been reported in the u s with state and jurisdiction [[reporting]] more than case [[continue]] to help slow the [[spread]] by [[staying]] home when sick and washing your [[hand]] often",1.0,0.5914136171340942,"a of june more than million covid case have been reported in the u s with state and jurisdiction [[notices]] more than case [[ceaseless]] to help slow the [[telecast]] by [[vestiges]] home when sick and washing your [[mano]] often","Successful"
1.0,200.0,1.0,0.26897192001342773,"a [[tweet]] from donald [[trump]] [[said]] that he would never [[let]] [[thousand]] of [[american]] [[die]] from a [[pandemic]] while in [[office]]",1.0,0.3364633321762085,"a [[twitter]] from donald [[skank]] [[explain]] that he would never [[authorisation]] [[miles]] of [[usa]] [[whack]] from a [[epidemic]] while in [[salle]]","Failed"
0.0,200.0,0.0,0.2689480781555176,"coronavirusupdates indiafightscorona covid recovery rate [[soar]] [[past]] total [[recovery]] improved to and [[exceed]] active case by nearly lakh the actual [[caseload]] of the country is the active case which is only of the [[total]] positive case",0.0,0.28724247217178345,"coronavirusupdates indiafightscorona covid recovery rate [[raise]] [[antique]] total [[salvage]] improved to and [[impersonate]] active case by nearly lakh the actual [[payload]] of the country is the active case which is only of the [[utterly]] positive case","Failed"
0.0,200.0,0.0,0.26894354820251465,"[[today]] we have no new case of covid to [[report]] our total number of confirmed case is now which is the number we [[report]] to the world health organization our [[combined]] [[total]] of [[confirmed]] and probable case is now",0.0,0.2689934968948364,"[[day]] we have no new case of covid to [[told]] our total number of confirmed case is now which is the number we [[notification]] to the world health organization our [[combo]] [[generals]] of [[stresses]] and probable case is now","Failed"
0.0,200.0,0.0,0.26894932985305786,"of the people who left managed isolation facility during this [[period]] people have now been contacted and have tested negative for covid of those were tested before leaving [[managed]] [[isolation]] and the remaining were tested after [[departure]] from the [[facility]]",0.0,0.39913493394851685,"of the people who left managed isolation facility during this [[installments]] people have now been contacted and have tested negative for covid of those were tested before leaving [[administration]] [[insulation]] and the remaining were tested after [[resigns]] from the [[vegetable]]","Failed"
1.0,200.0,1.0,0.2689664959907532,"a [[video]] [[show]] that bill gate [[admits]] the vaccine [[will]] no doubt [[kill]] [[people]]",1.0,0.2927979826927185,"a [[soundtrack]] [[appear]] that bill gate [[argues]] the vaccine [[dedication]] no doubt [[teu]] [[capita]]","Failed"
1.0,200.0,1.0,0.2695325016975403,"covid barely [[kill]] anyone [[say]] [[man]] who would probably [[be]] [[pretty]] annoyed if we [[killed]] him",1.0,0.4921339154243469,"covid barely [[kiil]] anyone [[reported]] [[mate]] who would probably [[arrive]] [[comparatively]] annoyed if we [[casualties]] him","Failed"
1.0,41.0,1.0,0.2738083600997925,"the total number of death in [[brazil]] have decreased during the covid pandemic",0.0,0.7171880602836609,"the total number of death in [[gomes]] have decreased during the covid pandemic","Successful"
0.0,122.0,0.0,0.2692725658416748,"coronavirus rhondda cynon taff to [[go]] into [[local]] lockdown amid [[rise]] in [[case]]",1.0,0.6575886607170105,"coronavirus rhondda cynon taff to [[vaya]] into [[locale]] lockdown amid [[hiking]] in [[files]]","Successful"
0.0,157.0,0.0,0.26897233724594116,"breaking [[labour]] leader sir keir starmer is selfisolating after a member of his household [[displayed]] possible coronavirus symptom [[get]] the [[latest]] on this [[story]] here",1.0,0.509636640548706,"breaking [[trabajo]] leader sir keir starmer is selfisolating after a member of his household [[depicted]] possible coronavirus symptom [[gets]] the [[last]] on this [[mythical]] here","Successful"
