"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,1.0,0.0,0.565609872341156,"two member of atletienglish test coronavirus positive ahead of ucl quarterfinal not sure how the rest of the team can be on the field in these circumstance championsleague",0.0,0.565609872341156,"two member of atletienglish test coronavirus positive ahead of ucl quarterfinal not sure how the rest of the team can be on the field in these circumstance championsleague","Skipped"
1.0,38.0,1.0,0.40492135286331177,"household should have required medical kit with [[certain]] item and equipment to treat the different stage of covid",0.0,0.5262924432754517,"household should have required medical kit with [[specific]] item and equipment to treat the different stage of covid","Successful"
0.0,833.0,0.0,0.3702661395072937,"a [[mobile]] [[testing]] [[unit]] [[went]] to the airport [[site]] and all the [[staff]] who [[work]] there [[have]] now been [[tested]] the mobile [[testing]] [[went]] to the [[home]] of symptomatic [[people]] who [[work]] in the [[mount]] [[wellington]] [[site]] [[yesterday]] [[further]] [[testing]] is [[underway]] who work on [[different]] [[shift]]",0.0,0.4293839931488037,"a [[cellular]] [[audit]] [[units]] [[traveled]] to the airport [[locations]] and all the [[collaborators]] who [[worked]] there [[has]] now been [[inspected]] the mobile [[checked]] [[toured]] to the [[homes]] of symptomatic [[locals]] who [[labour]] in the [[assembling]] [[melbourne]] [[placement]] [[monday]] [[additionally]] [[exams]] is [[topical]] who work on [[many]] [[developments]]","Failed"
0.0,268.0,0.0,0.3614393472671509,"rt nytscience [[government]] across the [[country]] are [[adding]] [[thousand]] of [[job]] in the [[field]] of [[contact]] [[tracing]] to [[fight]] covid [[heres]] what",0.0,0.4009329080581665,"rt nytscience [[governing]] across the [[countries]] are [[inserting]] [[hundred]] of [[professions]] in the [[area]] of [[inform]] [[footprints]] to [[tackle]] covid [[hahaha]] what","Failed"
0.0,557.0,0.0,0.3739868402481079,"there are nine people in hospital in [[auckland]] city three in [[north]] [[shore]] in icu and the rest in middlemore are in icu and considered critical we [[understand]] that this is a [[very]] [[difficult]] [[time]] for them and their [[family]] we are [[wishing]] them a full and [[speedy]] recovery",0.0,0.42209869623184204,"there are nine people in hospital in [[brisbane]] city three in [[nordic]] [[shoreline]] in icu and the rest in middlemore are in icu and considered critical we [[confess]] that this is a [[drastically]] [[painful]] [[chronology]] for them and their [[parents]] we are [[attempting]] them a full and [[accelerated]] recovery","Failed"
0.0,306.0,0.0,0.3783108592033386,"tcell [[response]] may [[offer]] a more [[precise]] measure of [[potential]] longterm [[immune]] [[protection]] from covid [[compared]] with [[antibody]] [[assay]]",0.0,0.41336143016815186,"tcell [[interventions]] may [[tender]] a more [[specified]] measure of [[likely]] longterm [[vaccinations]] [[safeguarding]] from covid [[compares]] with [[antigen]] [[tryouts]]","Failed"
1.0,63.0,1.0,0.3719545006752014,"[[say]] [[wisconsin]] s inperson election ha caused a surge in new coronavirus case",0.0,0.5473895072937012,"[[dis]] [[wl]] s inperson election ha caused a surge in new coronavirus case","Successful"
1.0,56.0,1.0,0.4350714087486267,"i m putting the little bastard up for adoption read some of ireland s [[heartwarming]] covid story",0.0,0.5039241909980774,"i m putting the little bastard up for adoption read some of ireland s [[inspiring]] covid story","Successful"
1.0,159.0,1.0,0.40246570110321045,"muslim are [[spreading]] coronavirus by [[leaving]] [[money]] [[strewn]] on the [[street]]",1.0,0.4451829791069031,"muslim are [[scattering]] coronavirus by [[quit]] [[amount]] [[littered]] on the [[sidewalk]]","Failed"
1.0,322.0,1.0,0.4208669662475586,"[[man]] [[dismayed]] to [[find]] his [[health]] insurance [[doesnt]] [[cover]] him for coronavirus china coronavirus [[insurance]]",1.0,0.4389357566833496,"[[dawg]] [[stumped]] to [[search]] his [[physicians]] insurance [[infact]] [[embracing]] him for coronavirus china coronavirus [[reassurance]]","Failed"
